SEBI REPORT AS ON Reporting date 24-NOV-2025,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
APOLLOTYRE,APOLLO TYRES LTD,582035,2940.23
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,202,3.47
APTECHT,APTECH LIMITED,326299,382.71
APTUS,APTUS VALUE HSG FIN I LTD,2674866,8405.74
ARCHIDPLY,ARCHIDPLY IND. LTD,609,0.62
ARE&M,AMARA RAJA ENERGY MOB LTD,1556776,16398.94
ARIES,ARIES AGRO LTD.,108854,428.97
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,854878,895.97
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,135560,576.08
ARISINFRA,ARISINFRA SOLUTIONS LTD,478627,772.14
ARKADE,ARKADE DEVELOPERS LIMITED,2912756,5197.09
ARMANFIN,ARMAN FIN SERV LTD,95942,1576.98
ARROWGREEN,ARROW GREENTECH LIMITED,12509,78.57
ARSSBL,ANAND RATHI SH N STK BR L,615133,4219.00
ARTEMISMED,ARTEMIS MED SERVICE LTD,192582,522.43
ARVIND,ARVIND LIMITED,1006524,3442.76
ARVINDFASN,ARVIND FASHIONS LIMITED,547340,2871.50
ARVSMART,ARVIND SMARTSPACES LTD,147705,963.48
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,89618,812.44
ASAHISONG,ASAHI SONGWON COLOR LTD,467,1.37
ASAL,AUTOMOTIVE STAMPINGS & AS,33397,196.31
ASALCBR,ASSO ALCOHOLS & BREW LTD,159734,1616.69
ASHAPURMIN,ASHAPURA MINECHEM LTD,1457268,7173.53
ASHIANA,ASHIANA HOUSING LTD,81933,259.57
ASHIMASYN,ASHIMA LTD,18563,3.87
ASHOKA,ASHOKA BUILDCON LTD,4446359,9309.08
ASHOKAMET,ASHOKA METCAST LIMITED,18186,3.09
ASHOKLEY,ASHOK LEYLAND LTD,5064570,6960.58
ASIANENE,ASIAN ENERGY SERVICES LTD,558202,1908.99
ASIANPAINT,ASIAN PAINTS LIMITED,351086,9144.14
ASIANTILES,ASIAN GRANITO IND. LTD.,2010921,1351.53
ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,428499,2135.57
ASMS,BARTRONICS INDIA LIMITED,3180,0.46
ASPINWALL,ASPINWALL & CO LTD,126,0.36
ASTEC,ASTEC LIFESCIENCES LTD,377967,3701.95
ASTERDM,ASTER DM HEALTHCARE LTD.,576360,3761.50
ASTRAL,ASTRAL LIMITED,663188,10244.76
ASTRAMICRO,ASTRA MICROWAVE LTD,2210287,20309.22
ASTRAZEN,ASTRAZENECA PHARMA IND LT,28373,2323.95
ATALREAL,ATAL REALTECH LIMITED,1219000,260.78
ATAM,ATAM VALVES LIMITED,1849,2.04
ATGL,ADANI TOTAL GAS LIMITED,1754159,11848.23
ATHERENERG,ATHER ENERGY LIMITED,629121,3936.83
ATL,ALLCARGO TERMINALS LTD,898329,379.21
ATLANTAELE,ATLANTA ELECTRICALS LTD,72462,716.69
ATUL,ATUL LTD,253529,15658.97
ATULAUTO,ATUL AUTO LIMITED,285590,1424.40
AUBANK,AU SMALL FINANCE BANK LTD,466261,3606.34
AURIONPRO,AURIONPRO SOLN LTD,473635,5803.06
AUROPHARMA,AUROBINDO PHARMA LTD,494311,5875.74
AURUM,AURUM PROPTECH LIMITED,225549,407.80
AUTOAXLES,AUTOMOTIVE AXLES LIMITED,24034,431.89
AUTOBEES,NIPPONAMC - NETFAUTO,242032,662.25
AUTOIETF,ICICIPRAMC - ICICIAUTO,854428,234.21
AUTOIND,AUTOLINE INDUSTRIES LTD,66176,52.65
AVADHSUGAR,AVADH SUG & ENERGY LTD,134658,678.16
AVALON,AVALON TECHNOLOGIES LTD,363986,3710.44
AVANTEL,AVANTEL LIMITED,7193564,12731.63
AVANTIFEED,AVANTI FEEDS LIMITED,830517,6350.46
AVG,AVG LOGISTICS LIMITED,1900,5.16
AVL,ADITYA VISION LIMITED,115230,606.14
AVONMORE,AVONMORE CAP&MGT SERV LTD,11580,2.18
AVROIND,AVRO INDIA LIMITED,1258,1.79
AVTNPL,AVT NATURAL PRODUCTS LTD,69118,59.59
AWFIS,AWFIS SPACE SOLUTIONS LTD,783713,4732.18
AWHCL,ANTONY WASTE HDG CELL LTD,264495,1545.43
AWL,AWL AGRI BUSINESS LIMITED,3182578,9022.00
AXISBANK,AXIS BANK LIMITED,774182,9161.39
AXISBNKETF,AXISAMC - AXISBNKETF,669,3.98
AXISBPSETF,AXISAMC - AXISBPSETF,4269,0.56
AXISCADES,AXISCADES TECH LTD,420,7.14
AXISCETF,AXISAMC - AXISCETF,11576,14.67
AXISGOLD,AXIS MF - AXIS GOLD ETF,2893733,2900.72
AXISHCETF,AXISAMC - AXISHCETF,7259,10.52
AXISILVER,AXISAMC - AXISILVER,932656,1509.48
AXISNIFTY,AXISAMC - AXISNIFTY,19188,54.41
AXISTECETF,AXISAMC - AXISTECETF,3641,14.72
AXISVALUE,AXISAMC - AXISVALUE,1836,0.55
AXITA,AXITA COTTON LIMITED,50948,6.56
AXSENSEX,AXISAMC - AXSENSEX,2140,1.84
AYMSYNTEX,AYM SYNTEX LIMITED,21988,42.28
AZAD,AZAD ENGINEERING LIMITED,488234,8208.72
BAIDFIN,BAID FINSERV LIMITED,31629,3.93
BAJAJ-AUTO,BAJAJ AUTO LIMITED,391142,34962.86
BAJAJCON,BAJAJ CONSUMER CARE LTD,2269710,5965.86
BAJAJELEC,BAJAJ ELECT.LTD,477928,2738.81
BAJAJFINSV,BAJAJ FINSERV LTD.,794349,16109.36
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,928178,4576.04
BAJAJHFL,BAJAJ HOUSING FINANCE LTD,23607048,27850.20
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,25793831,6336.50
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,100467,12675.11
BAJAJINDEF,INDEF MANUFACTURING LTD,10801,40.45
BAJEL,BAJEL PROJECTS LIMITED,226346,462.57
BAJFINANCE,BAJAJ FINANCE LIMITED,3952183,38851.78
BALAJEE,SHREE TIRUPATI BALAJEE L,124272,63.66
BALAJITELE,BALAJI TELEFILMS LIMITED.,284966,357.33
BALAMINES,BALAJI AMINES LIMITED,300628,4742.05
BALAXI,BALAXI PHARMA LTD,71909,42.84
BALKRISIND,BALKRISHNA IND. LTD,146604,3681.02
BALMLAWRIE,BALMER LAWRIE & CO LTD,1650736,3661.46
BALPHARMA,BAL PHARMA LTD.,2611,2.16
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,1072926,5423.31
BALUFORGE,BALU FORGE INDUSTRIES LTD,313765,2021.76
BANARBEADS,BANARAS BEADS LTD,450,0.61
BANARISUG,BANNARI AMMAN SUGARS LTD,428,15.60
BANCOINDIA,BANCO PRODUCTS (I) LTD,703251,5299.43
BANDHANBNK,BANDHAN BANK LIMITED,17820348,29938.14
BANKBARODA,BANK OF BARODA,6536386,17377.98
BANKBEES,NIP IND ETF BANK BEES,351167,2040.52
BANKBETF,BFAM - BANKBETF,24428,14.33
BANKETF,MIRAEAMC - BANKETF,13379,78.58
BANKETFADD,DSPAMC - DSPBANKETF,4063,2.38
BANKIETF,ICICIPRAMC - IPRU5008,204809,118.90
BANKINDIA,BANK OF INDIA,14444090,18053.35
BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,10020,57.38
BANKPSU,MIRAEAMC - BANKPSU,21980,17.21
BANSALWIRE,BANSAL WIRE INDUSTRIES L,226445,866.42
BANSWRAS,BANSWARA SYNTEX LIMITED,3127,5.05
BASF,BASF INDIA LTD,167616,8610.81
BASML,BANNARI AM SPIN MILL LTD.,26420,9.00
BATAINDIA,BATA INDIA LTD,497840,5850.76
BAYERCROP,BAYER CROPSCIENCE LTD,89700,4522.36
BBETF0432,EDELAMC - BBETF0432,21,0.27
BBL,BHARAT BIJLEE LTD,109188,3189.69
BBNPNBETF,BARODABNP - BBNPNBETF,11,0.01
BBNPPGOLD,BARODABNP - BBNPPGOLD,23945,28.80
BBOX,BLACK BOX LIMITED,928494,5113.58
BBTC,BOMBAY BURMAH TRADING COR,252993,4946.90
BCLIND,BCL INDUSTRIES LIMITED,1651029,709.68
BCONCEPTS,BRAND CONCEPTS LIMITED,24,0.10
BDL,BHARAT DYNAMICS LIMITED,3819189,64196.94
BEARDSELL,BEARDSELL LIMITED,10851,3.76
BECTORFOOD,MRS BECTORS FOOD SPE LTD,182860,2603.99
BEDMUTHA,BEDMUTHA INDUST LTD,6328,8.94
BEL,BHARAT ELECTRONICS LTD,23929844,94366.54
BELLACASA,BELLA CASA FASH AND RET L,10905,44.87
BELRISE,BELRISE INDUSTRIES LTD,11579155,17254.63
BEML,BEML LIMITED,1530835,32678.47
BEPL,BHANSALI ENG. POLYMERS LT,2931121,3361.94
BERGEPAINT,BERGER PAINTS (I) LTD,188467,1068.12
BESTAGRO,BEST AGROLIFE LIMITED,77602,333.61
BFINVEST,BF INVESTMENT LIMITED,98968,521.37
BFSI,MIRAEAMC - MAFSETF,982091,268.16
BFUTILITIE,BF UTILITIES LIMITED,10976,86.06
BGRENERGY,BGR ENERGY SYSTEMS LTD,1,0.00
BHAGCHEM,BHAGIRADHA CHEM & INDS L,715210,2041.82
BHAGERIA,BHAGERIA INDUSTRIES LTD,161873,341.80
BHAGYANGR,BHAGYANAGAR INDIA LIMITED,5810,8.80
BHANDARI,BHANDARI HOSIERY EXP LTD,907045,46.86
BHARATFORG,BHARAT FORGE LTD,552540,7439.80
BHARATGEAR,BHARAT GEARS LTD.,7227,9.24
BHARATRAS,BHARAT RASAYAN LTD,19289,2095.97
BHARATSE,BHARAT SEATS LIMITED,41404,79.51
BHARATWIRE,BHARAT WIRE ROPES LTD.,923767,2045.57
BHARTIARTL,BHARTI AIRTEL LIMITED,625770,12599.53
BHARTIHEXA,BHARTI HEXACOM LIMITED,137667,2518.04
BHEL,BHEL,8085652,20628.77
BIGBLOC,BIGBLOC CONSTRUCTION LTD,68615,65.75
BIKAJI,BIKAJI FOODS INTERN LTD,573732,4382.73
BIOCON,BIOCON LIMITED.,3016384,11747.32
BIRLACABLE,BIRLA CABLE LIMITED,21016,36.27
BIRLACORPN,BIRLA CORPORATION LTD,315004,4058.70
BIRLAMONEY,ADITYA BIRLA MONEY LTD,39177,68.37
BIRLANU,BIRLANU LIMITED,44176,921.33
BLACKBUCK,BLACKBUCK LIMITED,1306708,8644.29
BLAL,BEML LAND ASSETS LIMITED,100052,227.10
BLISSGVS,BLISS GVS PHARMA LTD,720676,1170.85
BLKASHYAP,B.L.KASHYAP & SON LTD,753186,506.65
BLS,BLS INTL SERVS LTD,7417320,27207.73
BLSE,BLS E-SERVICES LIMITED,202467,410.48
BLUEDART,BLUE DART EXPRESS LTD,84986,5473.83
BLUEJET,BLUE JET HEALTHCARE LTD,2500819,17959.65
BLUESTARCO,BLUE STAR LIMITED,265886,5056.30
BLUESTONE,BLUESTONE JEWEL LFSTL LTD,236165,1553.00
BLUSPRING,BLUSPRING ENTERPRISES LTD,251589,209.52
BMWVENTLTD,BMW VENTURES LIMITED,69331,48.90
BODALCHEM,BODAL CHEMICALS LTD,724109,519.27
BOMDYEING,BOMBAY DYEING & MFG. CO L,6557107,10999.81
BORANA,BORANA WEAVES LIMITED,55306,151.21
BOROLTD,BOROSIL LIMITED,391528,1430.47
BORORENEW,BOROSIL RENEWABLES LTD,1875213,11721.71
BOROSCI,BOROSIL SCIENTIFIC LTD,195779,271.49
BOSCHLTD,BOSCH LIMITED,19249,7389.19
BPCL,BHARAT PETROLEUM CORP  LT,2790683,9743.33
BPL,BPL LTD,48884,39.41
BRIGADE,BRIGADE ENTER. LTD,533049,5571.43
BRIGHOTEL,BRIGADE HOTEL VENTURE LTD,180607,153.20
BRITANNIA,BRITANNIA INDUSTRIES LTD,103874,6100.10
BRNL,BHARAT ROAD NETWORK LTD,1400,0.36
BSE,BSE LIMITED,2399258,61766.59
BSE500IETF,ICICIPRAMC - ICICI500,553323,218.31
BSHSL,BOMBAY SUPER HYBRID SEEDS,2918,4.89
BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,368488,397.52
BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,144360,42.35
BSLSENETFG,BIRLASLAMC - BSLSENETFG,525,0.44
BSOFT,BIRLASOFT LIMITED,4570632,19928.31
BUTTERFLY,BTRFLY GANDHI APPL LTD,18457,142.25
BYKE,THE BYKE HOSPITALITY LTD,14505,9.89
CAMLINFINE,CAMLIN FINE SCIENCES LTD,2090393,4197.46
CAMPUS,CAMPUS ACTIVEWEAR LIMITED,983664,2815.89
CAMS,COMPUTER AGE MNGT SER LTD,878259,35905.25
CANBK,CANARA BANK,24019611,29378.19
CANFINHOME,CAN FIN HOMES LTD,361165,2963.82
CANTABIL,CANTABIL RETAIL LTD,1330983,3457.24
CAPACITE,CAPACITE INFRAPROJECT LTD,1650558,5479.83
CAPITALSFB,CAPITAL SMALL FIN BANK L,128711,365.07
CAPLIPOINT,CAPLIN POINT LAB LTD.,132340,2752.71
CARBORUNIV,CARBORUNDUM UNIVERSAL LTD,408778,3928.98
CARERATING,CARE RATINGS LIMITED,167548,2884.85
CARRARO,CARRARO INDIA LIMITED,179463,925.58
CARTRADE,CARTRADE TECH LIMITED,1005961,24879.75
CARYSIL,CARYSIL LIMITED,167856,1598.63
CASHIETF,ICICIPRAMC - CASHIETF,217,2.25
CASTROLIND,CASTROL INDIA LIMITED,7936596,16998.07
CCCL,CONS. CONST. CONSORT LTD,9922,2.33
CCL,CCL PRODUCTS (I) LTD,193080,1800.27
CDSL,CENTRAL DEPO SER (I) LTD,5205801,84069.92
CEATLTD,CEAT LIMITED,169248,6648.45
CEIGALL,CEIGALL INDIA LIMITED,656507,1767.95
CELLO,CELLO WORLD LIMITED,705971,4529.92
CEMPRO,CEMINDIA PROJECTS LIMITED,813608,5913.19
CENTENKA,CENTURY ENKA LTD,48936,271.88
CENTRALBK,CENTRAL BANK OF INDIA,38272427,15899.61
CENTRUM,CENTRUM CAPITAL LIMITED,156538,51.34
CENTUM,CENTUM ELECTRONICS LTD,67801,1732.78
CENTURYPLY,CENTURY PLYBOARDS (I) LTD,90212,736.43
CERA,CERA SANITARYWARE LTD,58015,3720.70
CESC,CESC LTD,4322105,7441.35
CEWATER,CONCORD ENVIRO SYSTEMS L,78459,418.22
CGCL,CAPRI GLOBAL CAPITAL LTD,5219341,9754.19
CGPOWER,CG POWER AND IND SOL LTD,4402480,31078.09
CHALET,CHALET HOTELS LIMITED,297116,2784.70
CHAMBLFERT,CHAMBAL FERTILIZERS LTD,4990702,26421.94
CHEMBOND,CHEMBOND MATERIALTECH LTD,473,2.99
CHEMCON,CHEMCON SPECIAL CHEM LTD,248047,642.10
CHEMFAB,CHEMFAB ALKALIS LIMITED,7127,46.97
CHEMPLASTS,CHEMPLAST SANMAR LIMITED,239252,966.98
CHENNPETRO,CHENNAI PETROLEUM CORP LT,887814,7964.04
CHEVIOT,CHEVIOT COMPANY LIMITED,1400,18.14
CHOICEIN,CHOICE INTERNATIONAL LTD,1540508,11781.80
CHOLAFIN,CHOLAMANDALAM IN & FIN CO,284074,4698.37
CHOLAHLDNG,CHOLAMANDALAM FIN HOL LTD,125515,2440.15
CIEINDIA,CIE AUTOMOTIVE INDIA LTD,491836,2231.39
CIFL,CAPITAL INDIA FINANCE LTD,27832,10.36
CIGNITITEC,CIGNITI TECHNOLOGIES LTD,60433,939.03
CIPLA,CIPLA LTD,739453,11537.69
CLEAN,CLEAN SCIENCE & TECH LTD,1229236,15078.26
CLEDUCATE,CL EDUCATE LIMITED,1,0.00
CLSEL,CHAMAN LAL SETIA EXP LTD,247165,743.43
CMSINFO,CMS INFO SYSTEMS LIMITED,926620,3704.34
COALINDIA,COAL INDIA LTD,12265044,48524.09
COASTCORP,COASTAL CORPORATION LTD,20631,8.31
COCHINSHIP,COCHIN SHIPYARD LIMITED,3163989,61837.92
COFFEEDAY,COFFEE DAY ENTERPRISE LTD,43117,21.08
COFORGE,COFORGE LIMITED,849092,15168.39
COHANCE,COHANCE LIFESCIENCES LTD,1354240,10723.40
COLPAL,COLGATE PALMOLIVE LTD.,723247,16989.89
COMMOIETF,ICICIPRAMC - ICICICOMMO,44857,41.21
COMPUSOFT,COMPUCOM SOFTWARE LTD,34581,7.46
COMSYN,COMMERCIAL SYN BAGS LTD,250,0.39
CONCOR,CONTAINER CORP OF IND LTD,4056696,23479.95
CONCORDBIO,CONCORD BIOTECH LIMITED,223630,3762.60
CONFIPET,CONFIDENCE PETRO IND LTD.,3647151,2180.55
CONS,KOTAKMAMC - KOTAKCONS,921,1.18
CONSOFINVT,CONSO. FIN. & HOLD. LTD.,1508,3.36
CONSUMBEES,NIP IND ETF CONSUMPTION,226995,306.42
CONSUMER,MIRAEAMC - CONSUMER,159130,19.40
CONSUMIETF,ICICIPRAMC - ICICICONSU,69992,87.38
CONTROLPR,CONTROL PRINT LIMITED,52692,415.95
CORALFINAC,CORAL INDIA FIN & HOUS LT,2383,1.03
CORDSCABLE,CORDS CABLE INDUS LTD.,8206,15.29
COROMANDEL,COROMANDEL INTERNTL. LTD,170098,3918.50
COSMOFIRST,COSMO FIRST LIMITED,449602,4410.51
CPCAP,CP CAPITAL LIMITED,25,0.10
CPPLUS,ADITYA INFOTECH LIMITED,28486,450.83
CPSEETF,CPSE ETF,2823502,2637.17
CRAFTSMAN,CRAFTSMAN AUTOMATION LTD,31560,2036.60
CREATIVE,CREATIVE NEWTECH LIMITED,318906,2164.20
CREDITACC,CREDITACCESS GRAMEEN LTD,425687,5510.65
CREST,CREST VENTURES LIMITED,28725,120.65
CRISIL,CRISIL LTD,80260,4147.29
CRIZAC,CRIZAC LIMITED,880922,2721.46
CROMPTON,CROMPT GREA CON ELEC LTD,6731359,21052.67
CROWN,CROWN LIFTERS LIMITED,50,0.07
CSBBANK,CSB BANK LIMITED,628990,2440.50
CSLFINANCE,CSL FINANCE LIMITED,7102,22.56
CUB,CITY UNION BANK LTD,1096107,2695.08
CUMMINSIND,CUMMINS INDIA LTD,140477,5760.71
CUPID,CUPID LIMITED,18397130,28166.04
CYBERTECH,CYBERTECH SYSTEMS & SOFTW,1636,3.86
CYIENT,CYIENT LIMITED,850796,10864.44
CYIENTDLM,CYIENT DLM LIMITED,922500,4561.90
DABUR,DABUR INDIA LTD,1267722,6739.25
DALBHARAT,DALMIA BHARAT LIMITED,158673,3394.46
DALMIASUG,DALMIA BHARAT SUG IN LTD,13534,50.23
DAMCAPITAL,DAM CAPITAL ADVISORS LTD,1865995,4721.16
DATAMATICS,DATAMATICS GLOBAL SER LTD,411269,3599.32
DATAPATTNS,DATA PATTERNS INDIA LTD,416349,11907.75
DAVANGERE,DAVANGERE SUGAR COMPANY L,3513926,134.23
DBCORP,D.B.CORP LTD,156435,416.68
DBEIL,DEEPAK BUILDERS & ENG I L,224331,373.23
DBL,DILIP BUILDCON LIMITED,956013,4633.94
DBOL,DHAMPUR BIO ORGANICS LTD,36788,32.64
