SEBI REPORT AS ON Reporting date 10-NOV-2025,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
ANUP,THE ANUP ENGINEERING LTD,81011,2111.22
ANURAS,ANUPAM RASAYAN INDIA LTD,4214926,41700.15
AONEGOLD,AONEAMC - AONEGOLD,241156,28.34
AONELIQUID,AONEAMC - AONELIQUID,9,0.09
AONENIFTY,AONEAMC - AONENIFTY,45763,4.71
AONETOTAL,AONEAMC - AONETOTAL,70947,8.31
APARINDS,APAR INDUSTRIES LTD.,94219,7937.61
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,34937,145.06
APEX,APEX FROZEN FOODS LIMITED,191832,467.90
APLAPOLLO,APL APOLLO TUBES LTD,262888,4589.37
APLLTD,ALEMBIC PHARMA LTD,234156,2347.05
APOLLO,APOLLO MICRO SYSTEMS LTD,3580413,9324.34
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,120507,9241.36
APOLLOPIPE,APOLLO PIPES LIMITED,559297,2149.36
APOLLOTYRE,APOLLO TYRES LTD,790706,3958.88
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,202,3.47
APTECHT,APTECH LIMITED,162804,210.02
APTUS,APTUS VALUE HSG FIN I LTD,2631194,8364.21
ARCHIDPLY,ARCHIDPLY IND. LTD,900,0.91
ARE&M,AMARA RAJA ENERGY MOB LTD,1517168,16090.58
ARIES,ARIES AGRO LTD.,105839,418.36
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,725474,773.29
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,158764,677.33
ARISINFRA,ARISINFRA SOLUTIONS LTD,608903,978.50
ARKADE,ARKADE DEVELOPERS LIMITED,2882336,5164.07
ARMANFIN,ARMAN FIN SERV LTD,83873,1350.33
ARROWGREEN,ARROW GREENTECH LIMITED,11802,75.32
ARSSBL,ANAND RATHI SH N STK BR L,193510,1071.94
ARTEMISMED,ARTEMIS MED SERVICE LTD,181550,466.64
ARVIND,ARVIND LIMITED,1072307,3625.91
ARVINDFASN,ARVIND FASHIONS LIMITED,513090,2705.68
ARVSMART,ARVIND SMARTSPACES LTD,163454,1086.67
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,125137,1114.27
ASAHISONG,ASAHI SONGWON COLOR LTD,621,1.82
ASAL,AUTOMOTIVE STAMPINGS & AS,34594,202.77
ASALCBR,ASSO ALCOHOLS & BREW LTD,126372,1308.38
ASHAPURMIN,ASHAPURA MINECHEM LTD,1617994,8035.83
ASHIANA,ASHIANA HOUSING LTD,75652,239.47
ASHIMASYN,ASHIMA LTD,9459,2.04
ASHOKA,ASHOKA BUILDCON LTD,4335099,9184.31
ASHOKAMET,ASHOKA METCAST LIMITED,6186,1.07
ASHOKLEY,ASHOK LEYLAND LTD,7043222,9537.58
ASIANENE,ASIAN ENERGY SERVICES LTD,571369,1965.51
ASIANPAINT,ASIAN PAINTS LIMITED,475272,11995.62
ASIANTILES,ASIAN GRANITO IND. LTD.,583825,375.64
ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,448254,2242.72
ASMS,BARTRONICS INDIA LIMITED,3682,0.54
ASPINWALL,ASPINWALL & CO LTD,200,0.56
ASTEC,ASTEC LIFESCIENCES LTD,351133,3416.13
ASTERDM,ASTER DM HEALTHCARE LTD.,407842,2607.54
ASTRAL,ASTRAL LIMITED,551026,8565.76
ASTRAMICRO,ASTRA MICROWAVE LTD,2146449,19807.90
ASTRAZEN,ASTRAZENECA PHARMA IND LT,29669,2449.20
ATALREAL,ATAL REALTECH LIMITED,1219000,260.78
ATAM,ATAM VALVES LIMITED,1849,2.04
ATGL,ADANI TOTAL GAS LIMITED,1742626,11888.26
ATHERENERG,ATHER ENERGY LIMITED,983641,6258.65
ATL,ALLCARGO TERMINALS LTD,955555,406.28
ATLANTAELE,ATLANTA ELECTRICALS LTD,49622,500.92
ATUL,ATUL LTD,267198,15678.20
ATULAUTO,ATUL AUTO LIMITED,262783,1323.92
AUBANK,AU SMALL FINANCE BANK LTD,511948,3886.76
AURIONPRO,AURIONPRO SOLN LTD,422676,5282.34
AUROPHARMA,AUROBINDO PHARMA LTD,685878,8025.77
AURUM,AURUM PROPTECH LIMITED,225745,408.19
AUTOAXLES,AUTOMOTIVE AXLES LIMITED,25289,460.93
AUTOBEES,NIPPONAMC - NETFAUTO,358454,980.38
AUTOIETF,ICICIPRAMC - ICICIAUTO,843965,229.67
AUTOIND,AUTOLINE INDUSTRIES LTD,66125,52.77
AVADHSUGAR,AVADH SUG & ENERGY LTD,196049,1000.14
AVALON,AVALON TECHNOLOGIES LTD,286632,2960.17
AVANTEL,AVANTEL LIMITED,7051474,12627.54
AVANTIFEED,AVANTI FEEDS LIMITED,1232879,9147.69
AVG,AVG LOGISTICS LIMITED,2051,5.54
AVL,ADITYA VISION LIMITED,128537,681.66
AVONMORE,AVONMORE CAP&MGT SERV LTD,12476,2.36
AVROIND,AVRO INDIA LIMITED,1358,1.90
AVTNPL,AVT NATURAL PRODUCTS LTD,71735,61.78
AWFIS,AWFIS SPACE SOLUTIONS LTD,809735,4961.35
AWHCL,ANTONY WASTE HDG CELL LTD,258889,1550.44
AWL,AWL AGRI BUSINESS LIMITED,3372714,9494.77
AXISBANK,AXIS BANK LIMITED,1055289,12411.78
AXISBNKETF,AXISAMC - AXISBNKETF,720,4.27
AXISBPSETF,AXISAMC - AXISBPSETF,2802,0.36
AXISCADES,AXISCADES TECH LTD,420,7.14
AXISCETF,AXISAMC - AXISCETF,13973,17.72
AXISGOLD,AXIS MF - AXIS GOLD ETF,2678386,2678.36
AXISHCETF,AXISAMC - AXISHCETF,6398,9.21
AXISILVER,AXISAMC - AXISILVER,856777,1395.87
AXISNIFTY,AXISAMC - AXISNIFTY,23520,66.22
AXISTECETF,AXISAMC - AXISTECETF,6676,27.22
AXISVALUE,AXISAMC - AXISVALUE,1228,0.36
AXITA,AXITA COTTON LIMITED,51305,6.59
AXSENSEX,AXISAMC - AXSENSEX,2368,2.03
AYMSYNTEX,AYM SYNTEX LIMITED,21757,41.89
AZAD,AZAD ENGINEERING LIMITED,593575,9973.63
BAIDFIN,BAID FINSERV LIMITED,36802,4.56
BAJAJ-AUTO,BAJAJ AUTO LIMITED,436945,38733.94
BAJAJCON,BAJAJ CONSUMER CARE LTD,2046063,5329.36
BAJAJELEC,BAJAJ ELECT.LTD,459557,2664.52
BAJAJFINSV,BAJAJ FINSERV LTD.,723601,14640.68
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,916451,4556.38
BAJAJHFL,BAJAJ HOUSING FINANCE LTD,23432397,27880.16
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,24588525,6099.71
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,66259,8589.30
BAJAJINDEF,INDEF MANUFACTURING LTD,11625,44.62
BAJEL,BAJEL PROJECTS LIMITED,215269,440.09
BAJFINANCE,BAJAJ FINANCE LIMITED,2505968,24336.81
BALAJEE,SHREE TIRUPATI BALAJEE L,134174,70.00
BALAJITELE,BALAJI TELEFILMS LIMITED.,98478,121.64
BALAMINES,BALAJI AMINES LIMITED,276373,4512.04
BALAXI,BALAXI PHARMA LTD,82886,50.46
BALKRISIND,BALKRISHNA IND. LTD,151495,3806.92
BALMLAWRIE,BALMER LAWRIE & CO LTD,1761205,3934.91
BALPHARMA,BAL PHARMA LTD.,2611,2.16
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,1073450,5455.70
BALUFORGE,BALU FORGE INDUSTRIES LTD,295912,1907.01
BANARISUG,BANNARI AMMAN SUGARS LTD,587,21.46
BANCOINDIA,BANCO PRODUCTS (I) LTD,520402,3950.19
BANDHANBNK,BANDHAN BANK LIMITED,17559417,29745.07
BANKBARODA,BANK OF BARODA,4725741,12066.55
BANKBEES,NIP IND ETF BANK BEES,556997,3253.50
BANKBETF,BFAM - BANKBETF,12443,7.14
BANKETF,MIRAEAMC - BANKETF,14145,83.10
BANKETFADD,DSPAMC - DSPBANKETF,4116,2.40
BANKIETF,ICICIPRAMC - IPRU5008,222329,128.39
BANKINDIA,BANK OF INDIA,14696815,18020.91
BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,12182,69.86
BANKPSU,MIRAEAMC - BANKPSU,14175,10.58
BANSALWIRE,BANSAL WIRE INDUSTRIES L,222355,859.64
BANSWRAS,BANSWARA SYNTEX LIMITED,4108,6.48
BASF,BASF INDIA LTD,169228,8705.28
BASML,BANNARI AM SPIN MILL LTD.,74347,22.12
BATAINDIA,BATA INDIA LTD,454337,5463.76
BAYERCROP,BAYER CROPSCIENCE LTD,93360,4764.34
BBETF0432,EDELAMC - BBETF0432,121,1.56
BBL,BHARAT BIJLEE LTD,104595,3068.96
BBNPNBETF,BARODABNP - BBNPNBETF,11,0.01
BBNPPGOLD,BARODABNP - BBNPPGOLD,25005,29.97
BBOX,BLACK BOX LIMITED,813734,4494.93
BBTC,BOMBAY BURMAH TRADING COR,208001,4079.58
BCLIND,BCL INDUSTRIES LIMITED,1754328,769.84
BCONCEPTS,BRAND CONCEPTS LIMITED,24,0.10
BDL,BHARAT DYNAMICS LIMITED,4167955,69746.44
BEARDSELL,BEARDSELL LIMITED,9501,3.36
BECTORFOOD,MRS BECTORS FOOD SPE LTD,191997,2745.15
BEDMUTHA,BEDMUTHA INDUST LTD,6411,9.21
BEL,BHARAT ELECTRONICS LTD,23840262,93480.03
BELLACASA,BELLA CASA FASH AND RET L,6071,24.10
BELRISE,BELRISE INDUSTRIES LTD,13233823,19489.55
BEML,BEML LIMITED,1434792,31051.43
BEPL,BHANSALI ENG. POLYMERS LT,2929324,3401.99
BERGEPAINT,BERGER PAINTS (I) LTD,318596,1772.27
BESTAGRO,BEST AGROLIFE LIMITED,72247,318.78
BFINVEST,BF INVESTMENT LIMITED,99647,526.94
BFSI,MIRAEAMC - MAFSETF,1036689,282.78
BFUTILITIE,BF UTILITIES LIMITED,89906,642.06
BGRENERGY,BGR ENERGY SYSTEMS LTD,1,0.00
BHAGCHEM,BHAGIRADHA CHEM & INDS L,600984,1751.33
BHAGERIA,BHAGERIA INDUSTRIES LTD,168038,366.68
BHAGYANGR,BHAGYANAGAR INDIA LIMITED,5423,7.13
BHANDARI,BHANDARI HOSIERY EXP LTD,907045,46.86
BHARATFORG,BHARAT FORGE LTD,725642,9456.24
BHARATGEAR,BHARAT GEARS LTD.,7227,9.24
BHARATRAS,BHARAT RASAYAN LTD,17465,1926.17
BHARATSE,BHARAT SEATS LIMITED,43695,84.52
BHARATWIRE,BHARAT WIRE ROPES LTD.,919318,2048.98
BHARTIARTL,BHARTI AIRTEL LIMITED,1050522,20820.59
BHARTIHEXA,BHARTI HEXACOM LIMITED,140275,2569.73
BHEL,BHEL,9065200,22642.97
BIGBLOC,BIGBLOC CONSTRUCTION LTD,71114,67.81
BIKAJI,BIKAJI FOODS INTERN LTD,618337,4720.14
BIOCON,BIOCON LIMITED.,2653772,9929.77
BIRLACABLE,BIRLA CABLE LIMITED,22485,39.46
BIRLACORPN,BIRLA CORPORATION LTD,309045,4015.29
BIRLAMONEY,ADITYA BIRLA MONEY LTD,40728,71.62
BIRLANU,BIRLANU LIMITED,46892,993.80
BLACKBUCK,BLACKBUCK LIMITED,1228348,8126.74
BLAL,BEML LAND ASSETS LIMITED,93225,213.41
BLISSGVS,BLISS GVS PHARMA LTD,900236,1404.85
BLKASHYAP,B.L.KASHYAP & SON LTD,754807,518.01
BLS,BLS INTL SERVS LTD,7885497,28858.83
BLSE,BLS E-SERVICES LIMITED,302966,605.33
BLUEDART,BLUE DART EXPRESS LTD,80495,5246.48
BLUEJET,BLUE JET HEALTHCARE LTD,2655843,19200.11
BLUESTARCO,BLUE STAR LIMITED,267940,5108.46
BLUESTONE,BLUESTONE JEWEL LFSTL LTD,299196,2072.04
BLUSPRING,BLUSPRING ENTERPRISES LTD,260783,216.93
BMWVENTLTD,BMW VENTURES LIMITED,45641,31.32
BODALCHEM,BODAL CHEMICALS LTD,741063,536.37
BOMDYEING,BOMBAY DYEING & MFG. CO L,6517979,11007.94
BORANA,BORANA WEAVES LIMITED,60082,138.15
BOROLTD,BOROSIL LIMITED,370980,1369.19
BORORENEW,BOROSIL RENEWABLES LTD,1882595,11786.64
BOROSCI,BOROSIL SCIENTIFIC LTD,84008,121.70
BOSCHLTD,BOSCH LIMITED,17569,6806.94
BPCL,BHARAT PETROLEUM CORP  LT,3322020,11554.93
BPL,BPL LTD,70651,58.54
BRIGADE,BRIGADE ENTER. LTD,436557,4720.93
BRIGHOTEL,BRIGADE HOTEL VENTURE LTD,180689,153.71
BRITANNIA,BRITANNIA INDUSTRIES LTD,54850,3254.12
BRNL,BHARAT ROAD NETWORK LTD,12300,2.91
BSE,BSE LIMITED,2976811,74340.95
BSE500IETF,ICICIPRAMC - ICICI500,577686,227.75
BSHSL,BOMBAY SUPER HYBRID SEEDS,2897,4.87
BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,298765,317.15
BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,318827,93.61
BSLSENETFG,BIRLASLAMC - BSLSENETFG,1522,1.27
BSOFT,BIRLASOFT LIMITED,5092694,21998.58
BUTTERFLY,BTRFLY GANDHI APPL LTD,19597,152.45
BYKE,THE BYKE HOSPITALITY LTD,14300,9.76
CAMLINFINE,CAMLIN FINE SCIENCES LTD,1866079,3829.69
CAMPUS,CAMPUS ACTIVEWEAR LIMITED,955465,2754.67
CAMS,COMPUTER AGE MNGT SER LTD,959074,38804.64
CANBK,CANARA BANK,22663458,26185.38
CANFINHOME,CAN FIN HOMES LTD,343314,2745.16
CANTABIL,CANTABIL RETAIL LTD,1319726,3495.54
CAPACITE,CAPACITE INFRAPROJECT LTD,1670916,5619.28
CAPITALSFB,CAPITAL SMALL FIN BANK L,114784,327.50
CAPLIPOINT,CAPLIN POINT LAB LTD.,123692,2600.14
CARBORUNIV,CARBORUNDUM UNIVERSAL LTD,336060,3340.36
CARERATING,CARE RATINGS LIMITED,169152,2926.67
CARRARO,CARRARO INDIA LIMITED,201233,1012.08
CARTRADE,CARTRADE TECH LIMITED,1043345,25788.88
CARYSIL,CARYSIL LIMITED,209036,1954.49
CASHIETF,ICICIPRAMC - CASHIETF,614,6.36
CASTROLIND,CASTROL INDIA LIMITED,8118393,17419.30
CCCL,CONS. CONST. CONSORT LTD,10263,2.42
CCL,CCL PRODUCTS (I) LTD,205183,1883.98
CDSL,CENTRAL DEPO SER (I) LTD,5482297,88087.77
CEATLTD,CEAT LIMITED,128485,5065.28
CEIGALL,CEIGALL INDIA LIMITED,678591,1837.23
CELLO,CELLO WORLD LIMITED,709978,4581.44
CEMPRO,CEMINDIA PROJECTS LIMITED,769801,5573.94
CENTENKA,CENTURY ENKA LTD,54450,304.30
CENTRALBK,CENTRAL BANK OF INDIA,39243775,16341.07
CENTRUM,CENTRUM CAPITAL LIMITED,46201,15.79
CENTUM,CENTUM ELECTRONICS LTD,66583,1703.12
CENTURYPLY,CENTURY PLYBOARDS (I) LTD,120065,966.07
CERA,CERA SANITARYWARE LTD,51691,3412.54
CESC,CESC LTD,3986267,6872.85
CEWATER,CONCORD ENVIRO SYSTEMS L,80578,441.67
CGCL,CAPRI GLOBAL CAPITAL LTD,5239041,9812.61
CGPOWER,CG POWER AND IND SOL LTD,4179208,29531.12
CHALET,CHALET HOTELS LIMITED,208929,2015.84
CHAMBLFERT,CHAMBAL FERTILIZERS LTD,5030578,27104.56
CHEMBOND,CHEMBOND MATERIALTECH LTD,573,3.16
CHEMCON,CHEMCON SPECIAL CHEM LTD,261728,684.62
CHEMFAB,CHEMFAB ALKALIS LIMITED,5975,41.55
CHEMPLASTS,CHEMPLAST SANMAR LIMITED,220054,953.98
CHENNPETRO,CHENNAI PETROLEUM CORP LT,1228078,10346.45
CHEVIOT,CHEVIOT COMPANY LIMITED,1890,24.13
CHOICEIN,CHOICE INTERNATIONAL LTD,1508274,11504.36
CHOLAFIN,CHOLAMANDALAM IN & FIN CO,193815,3154.02
CHOLAHLDNG,CHOLAMANDALAM FIN HOL LTD,83135,1616.76
CIEINDIA,CIE AUTOMOTIVE INDIA LTD,499701,2269.43
CIFL,CAPITAL INDIA FINANCE LTD,26461,9.95
CIGNITITEC,CIGNITI TECHNOLOGIES LTD,66877,1037.20
CINELINE,CINELINE INDIA LIMITED,30,0.03
CIPLA,CIPLA LTD,847138,13206.58
CLEAN,CLEAN SCIENCE & TECH LTD,1230544,15256.12
CLEDUCATE,CL EDUCATE LIMITED,1,0.00
CLSEL,CHAMAN LAL SETIA EXP LTD,251358,762.36
CMSINFO,CMS INFO SYSTEMS LIMITED,970933,3891.45
COALINDIA,COAL INDIA LTD,13865336,54421.85
COASTCORP,COASTAL CORPORATION LTD,20090,8.00
COCHINSHIP,COCHIN SHIPYARD LIMITED,2932599,58218.05
COFFEEDAY,COFFEE DAY ENTERPRISE LTD,43117,21.08
COFORGE,COFORGE LIMITED,1032024,18236.30
COHANCE,COHANCE LIFESCIENCES LTD,1062315,9144.44
COLPAL,COLGATE PALMOLIVE LTD.,732616,17269.82
COMMOIETF,ICICIPRAMC - ICICICOMMO,59723,54.49
COMPUSOFT,COMPUCOM SOFTWARE LTD,34701,7.48
COMSYN,COMMERCIAL SYN BAGS LTD,1361,2.13
CONCOR,CONTAINER CORP OF IND LTD,3682359,21687.61
CONCORDBIO,CONCORD BIOTECH LIMITED,248909,4162.89
CONFIPET,CONFIDENCE PETRO IND LTD.,3704608,2220.34
CONS,KOTAKMAMC - KOTAKCONS,121,0.16
CONSOFINVT,CONSO. FIN. & HOLD. LTD.,1648,3.65
CONSUMBEES,NIP IND ETF CONSUMPTION,238733,321.79
CONSUMER,MIRAEAMC - CONSUMER,66059,8.10
CONSUMIETF,ICICIPRAMC - ICICICONSU,65539,81.05
CONTROLPR,CONTROL PRINT LIMITED,61041,480.89
CORALFINAC,CORAL INDIA FIN & HOUS LT,2000,0.88
CORDSCABLE,CORDS CABLE INDUS LTD.,6235,11.83
COROMANDEL,COROMANDEL INTERNTL. LTD,305335,6912.22
COSMOFIRST,COSMO FIRST LIMITED,443733,4424.32
CPCAP,CP CAPITAL LIMITED,451,0.60
CPPLUS,ADITYA INFOTECH LIMITED,80212,1175.58
CPSEETF,CPSE ETF,2957431,2763.61
CRAFTSMAN,CRAFTSMAN AUTOMATION LTD,23789,1466.44
CREATIVE,CREATIVE NEWTECH LIMITED,336506,2297.74
CREDITACC,CREDITACCESS GRAMEEN LTD,421596,5484.10
CREST,CREST VENTURES LIMITED,28671,120.76
CRISIL,CRISIL LTD,71276,3749.83
CRIZAC,CRIZAC LIMITED,1115393,3464.02
CROMPTON,CROMPT GREA CON ELEC LTD,6340287,20163.26
CSBBANK,CSB BANK LIMITED,696644,2684.01
CSLFINANCE,CSL FINANCE LIMITED,8467,26.62
CUB,CITY UNION BANK LTD,1528807,3671.64
CUMMINSIND,CUMMINS INDIA LTD,110971,4439.47
CUPID,CUPID LIMITED,18265112,27624.50
CYBERTECH,CYBERTECH SYSTEMS & SOFTW,4202,9.79
CYIENT,CYIENT LIMITED,815252,10517.16
CYIENTDLM,CYIENT DLM LIMITED,724598,3694.27
DABUR,DABUR INDIA LTD,1386847,7320.06
DALBHARAT,DALMIA BHARAT LIMITED,149346,3225.27
DALMIASUG,DALMIA BHARAT SUG IN LTD,23347,89.75
DAMCAPITAL,DAM CAPITAL ADVISORS LTD,1551450,4035.88
DATAMATICS,DATAMATICS GLOBAL SER LTD,391754,3425.91
DATAPATTNS,DATA PATTERNS INDIA LTD,585555,16216.31
DAVANGERE,DAVANGERE SUGAR COMPANY L,3236549,123.69
DBCORP,D.B.CORP LTD,166476,442.40
DBEIL,DEEPAK BUILDERS & ENG I L,226774,385.62
DBL,DILIP BUILDCON LIMITED,808310,3996.58
DBOL,DHAMPUR BIO ORGANICS LTD,38306,34.28
DBREALTY,VALOR ESTATE LIMITED,4831360,8571.02
DCAL,DISHMAN CARBO AMCIS LTD,597320,1670.04
