sebi_report_as_on_reporting_date_12nov2025,unnamed_1,unnamed_2,unnamed_3
Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,11119126.63,
2,Fresh Exposure taken during the day,416532.51,
3,Exposure liquidated during the day,472536.04,
4,Net scripwise outstanding at the end of the day,11063123.10,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,255383,598.26
360ONE,360 ONE WAM LIMITED,366620,4078.12
3IINFOLTD,3I INFOTECH LIMITED,475826,149.56
3MINDIA,3M INDIA LIMITED,5355,1707.46
5PAISA,5PAISA CAPITAL LIMITED,74160,269.69
63MOONS,63 MOONS TECHNOLOGIES LTD,393806,3305.85
AADHARHFC,AADHAR HOUSING FINANCE L,1141344,5794.08
AARON,AARON INDUSTRIES LIMITED,220,0.68
AARTECH,AARTECH SOLONICS LIMITED,875,0.47
AARTIDRUGS,AARTI DRUGS LTD.,691699,3450.39
AARTIIND,AARTI INDUSTRIES LTD,3776812,16540.86
AARTIPHARM,AARTI PHARMALABS LIMITED,393368,3237.77
AARTISURF,AARTI SURFACTANTS LIMITED,3128,15.34
AARVI,AARVI ENCON LIMITED,133,0.16
AAVAS,AAVAS FINANCIERS LIMITED,244289,4325.22
ABAN,ABAN OFFSHORE LTD.,750,0.58
ABB,ABB INDIA LIMITED,563998,31436.65
ABBOTINDIA,ABBOTT INDIA LIMITED,15294,4693.76
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3408622,9223.92
ABCOTS,A B COTSPIN INDIA LIMITED,9642,40.62
ABDL,ALLIED BLEND N DISTILS L,934573,4989.52
ABFRL,ADITYA BIRLA FASHION & RT,32499629,40005.58
ABGSEC,BIRLASLAMC - ABGSEC,261,0.29
ABINFRA,A B INFRABUILD LIMITED,500,0.10
ABLBL,ADITYA BIRLA LIFES BRAN L,6993292,10432.52
ABREL,ADITYA BIRLA REAL EST LTD,313086,6448.04
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,469079,3819.81
ABSLBANETF,BIRLASLAMC - ABSLBANETF,10546,6.02
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,11,0.11
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,164613,125.62
ABSLPSE,BIRLASLAMC-ABSLPSE,108238,10.94
ACC,ACC LIMITED,761107,14668.30
ACCELYA,ACCELYA SOLN INDIA LTD,305198,4436.10
ACE,ACTION CONST EQUIP LTD,700773,8223.58
ACI,ARCHEAN CHEMICAL IND LTD,332264,2174.59
ACL,ANDHRA CEMENTS LIMITED,62,0.04
ACLGATI,ALLCARGO GATI LIMITED,62520,41.29
ACMESOLAR,ACME SOLAR HOLDINGS LTD,2792836,7962.19
ACUTAAS,ACUTAAS CHEMICALS LIMITED,408055,6270.56
ADANIENSOL,ADANI ENERGY SOLUTION LTD,1226891,10872.54
ADANIENT,ADANI ENTERPRISES LIMITED,1193013,30622.41
ADANIGREEN,ADANI GREEN ENERGY LTD,2470700,26415.98
