sebi_report_as_on_reporting_date_08dec2025,unnamed_1,unnamed_2,unnamed_3
Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,11223532.18,
2,Fresh Exposure taken during the day,329602.89,
3,Exposure liquidated during the day,341012.74,
4,Net scripwise outstanding at the end of the day,11212122.34,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,186742,438.22
360ONE,360 ONE WAM LIMITED,281653,3151.86
3IINFOLTD,3I INFOTECH LIMITED,405416,117.45
3MINDIA,3M INDIA LIMITED,5940,1936.94
5PAISA,5PAISA CAPITAL LIMITED,108857,398.30
63MOONS,63 MOONS TECHNOLOGIES LTD,393156,3342.34
AADHARHFC,AADHAR HOUSING FINANCE L,1121832,5661.66
AARON,AARON INDUSTRIES LIMITED,437,1.08
AARTECH,AARTECH SOLONICS LIMITED,875,0.47
AARTIDRUGS,AARTI DRUGS LTD.,708806,3455.59
AARTIIND,AARTI INDUSTRIES LTD,3798131,16401.01
AARTIPHARM,AARTI PHARMALABS LIMITED,417546,3313.01
AARTISURF,AARTI SURFACTANTS LIMITED,3765,18.05
AARVI,AARVI ENCON LIMITED,243,0.34
AAVAS,AAVAS FINANCIERS LIMITED,296375,5044.72
ABAN,ABAN OFFSHORE LTD.,750,0.58
ABB,ABB INDIA LIMITED,463385,26086.37
ABBOTINDIA,ABBOTT INDIA LIMITED,14882,4529.71
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2616000,7092.23
ABCOTS,A B COTSPIN INDIA LIMITED,55857,232.98
ABDL,ALLIED BLEND N DISTILS L,956101,5208.10
ABFRL,ADITYA BIRLA FASHION & RT,32779494,40048.89
ABGSEC,BIRLASLAMC - ABGSEC,261,0.29
ABINFRA,A B INFRABUILD LIMITED,299000,57.71
ABLBL,ADITYA BIRLA LIFES BRAN L,6364511,9544.68
ABREL,ADITYA BIRLA REAL EST LTD,350364,7026.52
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,486157,3894.22
ABSLBANETF,BIRLASLAMC - ABSLBANETF,14857,8.72
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,211,2.11
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,166231,126.79
ABSLPSE,BIRLASLAMC-ABSLPSE,218421,21.99
ACC,ACC LIMITED,713599,13666.21
ACCELYA,ACCELYA SOLN INDIA LTD,246911,3549.23
ACCURACY,ACCURACY SHIPPING LIMITED,250,0.02
ACE,ACTION CONST EQUIP LTD,680841,7818.91
ACI,ARCHEAN CHEMICAL IND LTD,440409,2736.53
ACL,ANDHRA CEMENTS LIMITED,0,0.00
ACLGATI,ALLCARGO GATI LIMITED,56153,36.42
ACMESOLAR,ACME SOLAR HOLDINGS LTD,2527286,6996.90
ACUTAAS,ACUTAAS CHEMICALS LIMITED,404693,6354.75
ADANIENSOL,ADANI ENERGY SOLUTION LTD,1202594,10778.86
ADANIENT,ADANI ENTERPRISES LIMITED,1737955,42788.66
ADANIGREEN,ADANI GREEN ENERGY LTD,2635664,28063.12
ADANIPORTS,ADANI PORT & SEZ LTD,1537678,21935.19
ADANIPOWER,ADANI POWER LTD,32759521,49021.70
ADFFOODS,ADF FOODS LIMITED,780475,1993.01
ADOR,ADOR WELDING LTD,43116,480.61
ADSL,ALLIED DIGITAL SERV. LTD,331547,636.31
ADVANCE,ADVANCE AGROLIFE LIMITED,528689,725.16
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,26893,17.09
ADVENZYMES,ADVANCED ENZYME TECH LTD,677704,2368.43
AEGISLOG,AEGIS LOGISTICS LIMITED,1103637,8799.51
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,499122,1328.61
AEROENTER,AEROFLEX ENTERPRISES LTD,853542,860.61
AEROFLEX,AEROFLEX INDUSTRIES LTD,2283465,4332.82
AETHER,AETHER INDUSTRIES LIMITED,303852,2424.00
AFCONS,AFCONS INFRASTRUCTURE LTD,1269820,5628.07
AFFLE,AFFLE 3I LIMITED,311232,5710.13
AFFORDABLE,AFFORD ROBO & AUTO LTD,5312,14.64
AFIL,AKME FINTRADE (INDIA) LTD,12287628,948.12
AFSL,ABANS FINANCIAL SRVCS LTD,27699,65.58
AGARIND,AGARWAL INDS CORP LTD.,58673,548.79
AGARWALEYE,DR AGARWALS HEALTH CARE L,144954,720.52
AGI,AGI GREENPAC LIMITED,461556,3917.95
AGIIL,AGI INFRA LIMITED,1816885,4032.88
AGRITECH,AGRI-TECH (INDIA) LIMITED,4613,7.71
AHLADA,AHLADA ENGINEERS LIMITED,5517,5.23
AHLEAST,ASIAN HOTELS (EAST) LTD,1399,2.12
AHLUCONT,AHLUWALIA CONT IND LTD,253880,2567.33
AIAENG,AIA ENGINEERING LIMITED,41268,1492.38
AIIL,AUTHUM INVEST & INFRA LTD,88464,2533.01
AIRAN,AIRAN LIMITED,82280,22.91
AJANTPHARM,AJANTA PHARMA LIMITED,55498,1507.53
AJAXENGG,AJAX ENGINEERING LIMITED,133113,875.07
AJMERA,AJMERA REALTY & INF I LTD,175223,1693.61
AJOONI,AJOONI BIOTECH LIMITED,7000,0.40
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,250,0.77
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,13369,0.94
AKUMS,AKUMS DRUGS AND PHARMA L,428894,2137.77
AKZOINDIA,AKZO NOBEL INDIA LIMITED,34131,1221.60
ALANKIT,ALANKIT LIMITED,199105,28.73
ALBERTDAVD,ALBERT DAVID LIMITED,4254,34.52
ALEMBICLTD,ALEMBIC LIMITED,2040277,2359.38
ALICON,ALICON CASTALLOY LIMITED,13800,136.50
ALIVUS,ALIVUS LIFE SCIENCES LTD,219584,2213.40
ALKALI,ALKALI METALS LTD,690,0.65
ALKEM,ALKEM LABORATORIES LTD.,20683,1161.04
ALKYLAMINE,ALKYL AMINES CHEM. LTD,165357,3376.62
ALLCARGO,ALLCARGO LOGISTICS LTD,908556,298.53
ALLDIGI,ALLDIGI TECH LIMITED,27276,199.43
ALLTIME,ALL TIME PLASTICS LIMITED,167287,482.11
ALMONDZ,ALMONDZ GLOBAL SEC LTD,13517,2.86
ALOKINDS,ALOK INDUSTRIES LIMITED,15140625,2898.98
ALPA,ALPA LABORATORIES LTD,5698,5.41
ALPHA,KOTAKMAMC - KOTAKALPHA,3891286,1939.44
ALPHAETF,MIRAEAMC - ALPHAETF,1746246,449.24
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,13183,35.12
ALPL30IETF,ICICIPRAMC - ICICIALPLV,727895,207.94
AMANTA,AMANTA HEALTHCARE LIMITED,21123,24.46
AMBER,AMBER ENTERPRISES (I) LTD,265158,19906.59
AMBIKCO,AMBIKA COTTON MILL LTD.,13462,197.18
AMBUJACEM,AMBUJA CEMENTS LTD,2945504,16845.17
AMJLAND,AMJ LAND HOLDINGS LIMITED,100,0.06
AMNPLST,AMINES & PLASTICIZERS LTD,4758,11.76
AMRUTANJAN,AMRUTAJAN HEALTH LTD,38963,288.85
ANANDRATHI,ANAND RATHI WEALTH LTD,213166,6096.83
ANANTRAJ,ANANT RAJ LIMITED,10792022,67884.56
ANDHRAPAP,ANDHRA PAPER LIMITED,574447,480.58
ANDHRSUGAR,ANDHRA SUGARS LTD,481282,502.88
ANDREWYU,ANDREW YULE & CO LTD,3900,1.04
ANGELONE,ANGEL ONE LIMITED,636652,17713.74
ANMOL,ANMOL INDIA LIMITED,500,0.08
ANTELOPUS,ANTELOPUS SELAN ENRGY LTD,104336,580.32
ANTHEM,ANTHEM BIOSCIENCES LTD,369912,2705.81
ANUHPHR,ANUH PHARMA LIMITED,22629,19.85
ANUP,THE ANUP ENGINEERING LTD,68524,1769.40
ANURAS,ANUPAM RASAYAN INDIA LTD,4230052,42397.99
AONEGOLD,AONEAMC - AONEGOLD,694060,82.86
AONELIQUID,AONEAMC - AONELIQUID,3,0.03
AONENIFTY,AONEAMC - AONENIFTY,49882,5.17
AONETOTAL,AONEAMC - AONETOTAL,113002,13.41
APARINDS,APAR INDUSTRIES LTD.,70069,5940.24
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,29126,121.58
APEX,APEX FROZEN FOODS LIMITED,294214,839.23
APLAPOLLO,APL APOLLO TUBES LTD,283487,4938.19
APLLTD,ALEMBIC PHARMA LTD,226441,2242.54
APOLLO,APOLLO MICRO SYSTEMS LTD,3334789,8616.76
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,252978,18888.38
APOLLOPIPE,APOLLO PIPES LIMITED,376009,1436.44
APOLLOTYRE,APOLLO TYRES LTD,538251,2679.07
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,228,3.80
APTECHT,APTECH LIMITED,337048,391.29
APTUS,APTUS VALUE HSG FIN I LTD,2550018,7955.21
ARCHIDPLY,ARCHIDPLY IND. LTD,600,0.61
ARE&M,AMARA RAJA ENERGY MOB LTD,1526610,16031.73
ARIES,ARIES AGRO LTD.,109165,428.10
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,917570,951.21
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,177286,712.10
ARISINFRA,ARISINFRA SOLUTIONS LTD,452814,713.29
ARKADE,ARKADE DEVELOPERS LIMITED,2925234,5193.78
ARMANFIN,ARMAN FIN SERV LTD,101689,1660.79
ARROWGREEN,ARROW GREENTECH LIMITED,12152,76.31
ARSSBL,ANAND RATHI SH N STK BR L,689888,4756.20
ARTEMISMED,ARTEMIS MED SERVICE LTD,225912,615.56
