sebi_report_as_on_reporting_date_18nov2025,unnamed_1,unnamed_2,unnamed_3
Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,11150565.45,
2,Fresh Exposure taken during the day,369637.43,
3,Exposure liquidated during the day,249980.93,
4,Net scripwise outstanding at the end of the day,11270221.96,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,256202,596.48
360ONE,360 ONE WAM LIMITED,413220,4571.29
3IINFOLTD,3I INFOTECH LIMITED,478925,149.61
3MINDIA,3M INDIA LIMITED,5371,1726.02
5PAISA,5PAISA CAPITAL LIMITED,117306,428.72
63MOONS,63 MOONS TECHNOLOGIES LTD,390256,3275.30
AADHARHFC,AADHAR HOUSING FINANCE L,1134068,5750.05
AARON,AARON INDUSTRIES LIMITED,270,0.78
AARTECH,AARTECH SOLONICS LIMITED,1075,0.57
AARTIDRUGS,AARTI DRUGS LTD.,695052,3453.56
AARTIIND,AARTI INDUSTRIES LTD,3808570,16637.45
AARTIPHARM,AARTI PHARMALABS LIMITED,379318,3095.86
AARTISURF,AARTI SURFACTANTS LIMITED,3733,18.21
AARVI,AARVI ENCON LIMITED,334,0.44
AAVAS,AAVAS FINANCIERS LIMITED,238319,4228.64
ABAN,ABAN OFFSHORE LTD.,750,0.58
ABB,ABB INDIA LIMITED,542698,30384.64
ABBOTINDIA,ABBOTT INDIA LIMITED,14610,4487.71
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3492158,9597.89
ABCOTS,A B COTSPIN INDIA LIMITED,28932,120.56
ABDL,ALLIED BLEND N DISTILS L,950839,5116.65
ABFRL,ADITYA BIRLA FASHION & RT,33292256,40622.69
ABGSEC,BIRLASLAMC - ABGSEC,261,0.29
ABINFRA,A B INFRABUILD LIMITED,1,0.00
ABLBL,ADITYA BIRLA LIFES BRAN L,6355343,9547.14
ABREL,ADITYA BIRLA REAL EST LTD,331431,6748.91
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,492436,3976.16
ABSLBANETF,BIRLASLAMC - ABSLBANETF,9379,5.33
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,11,0.11
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,164654,125.65
ABSLPSE,BIRLASLAMC-ABSLPSE,101052,10.19
ACC,ACC LIMITED,776066,14922.25
ACCELYA,ACCELYA SOLN INDIA LTD,298578,4336.51
ACE,ACTION CONST EQUIP LTD,720299,8374.65
ACI,ARCHEAN CHEMICAL IND LTD,365137,2376.67
ACL,ANDHRA CEMENTS LIMITED,62,0.04
ACLGATI,ALLCARGO GATI LIMITED,60585,39.31
