sebi_report_as_on_reporting_date_10dec2025,unnamed_1,unnamed_2,unnamed_3
Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,11143564.22,
2,Fresh Exposure taken during the day,271745.87,
3,Exposure liquidated during the day,212282.38,
4,Net scripwise outstanding at the end of the day,11203027.70,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,184136,432.76
360ONE,360 ONE WAM LIMITED,291334,3258.82
3IINFOLTD,3I INFOTECH LIMITED,415025,118.79
3MINDIA,3M INDIA LIMITED,5893,1920.63
5PAISA,5PAISA CAPITAL LIMITED,111463,405.70
63MOONS,63 MOONS TECHNOLOGIES LTD,385068,3268.44
AADHARHFC,AADHAR HOUSING FINANCE L,1088914,5495.61
AARON,AARON INDUSTRIES LIMITED,437,1.08
AARTECH,AARTECH SOLONICS LIMITED,875,0.47
AARTIDRUGS,AARTI DRUGS LTD.,706687,3438.88
AARTIIND,AARTI INDUSTRIES LTD,3768643,16234.31
AARTIPHARM,AARTI PHARMALABS LIMITED,413570,3280.59
AARTISURF,AARTI SURFACTANTS LIMITED,3878,18.50
AARVI,AARVI ENCON LIMITED,528,0.69
AAVAS,AAVAS FINANCIERS LIMITED,276092,4732.37
ABAN,ABAN OFFSHORE LTD.,750,0.58
ABB,ABB INDIA LIMITED,450378,25371.43
ABBOTINDIA,ABBOTT INDIA LIMITED,14922,4523.09
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2710141,7477.06
ABCOTS,A B COTSPIN INDIA LIMITED,58093,242.26
ABDL,ALLIED BLEND N DISTILS L,951288,5177.13
ABFRL,ADITYA BIRLA FASHION & RT,32518809,39762.16
ABGSEC,BIRLASLAMC - ABGSEC,261,0.29
ABINFRA,A B INFRABUILD LIMITED,299000,57.71
ABLBL,ADITYA BIRLA LIFES BRAN L,6321063,9482.31
ABREL,ADITYA BIRLA REAL EST LTD,348720,6958.07
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,478430,3830.59
ABSLBANETF,BIRLASLAMC - ABSLBANETF,13210,7.70
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,211,2.11
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,166136,126.72
ABSLPSE,BIRLASLAMC-ABSLPSE,218525,22.00
ACC,ACC LIMITED,726976,13890.36
ACCELYA,ACCELYA SOLN INDIA LTD,245558,3528.02
ACCURACY,ACCURACY SHIPPING LIMITED,250,0.02
ACE,ACTION CONST EQUIP LTD,682622,7815.50
ACI,ARCHEAN CHEMICAL IND LTD,429758,2663.20
ACLGATI,ALLCARGO GATI LIMITED,56152,36.41
ACMESOLAR,ACME SOLAR HOLDINGS LTD,2622416,7184.32
ACUTAAS,ACUTAAS CHEMICALS LIMITED,437142,6903.55
ADANIENSOL,ADANI ENERGY SOLUTION LTD,1191994,10683.21
ADANIENT,ADANI ENTERPRISES LIMITED,1756486,43154.89
ADANIGREEN,ADANI GREEN ENERGY LTD,2651241,28152.08
ADANIPORTS,ADANI PORT & SEZ LTD,1510896,21555.95
ADANIPOWER,ADANI POWER LTD,32783493,48937.72
ADFFOODS,ADF FOODS LIMITED,772419,1975.14
ADOR,ADOR WELDING LTD,42218,471.38
ADSL,ALLIED DIGITAL SERV. LTD,332583,634.42
ADVANCE,ADVANCE AGROLIFE LIMITED,525024,715.56
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,26192,16.68
ADVENZYMES,ADVANCED ENZYME TECH LTD,673031,2349.69
AEGISLOG,AEGIS LOGISTICS LIMITED,1093206,8709.97
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,522300,1380.12
AEROENTER,AEROFLEX ENTERPRISES LTD,864442,869.11
AEROFLEX,AEROFLEX INDUSTRIES LTD,2271188,4306.44
AETHER,AETHER INDUSTRIES LIMITED,296579,2352.06
AFCONS,AFCONS INFRASTRUCTURE LTD,1154677,5108.53
AFFLE,AFFLE 3I LIMITED,322674,5886.35
AFFORDABLE,AFFORD ROBO & AUTO LTD,4974,13.93
AFIL,AKME FINTRADE (INDIA) LTD,12269993,946.70
AFSL,ABANS FINANCIAL SRVCS LTD,26634,63.23
AGARIND,AGARWAL INDS CORP LTD.,57940,536.08
AGARWALEYE,DR AGARWALS HEALTH CARE L,153483,761.47
AGI,AGI GREENPAC LIMITED,458821,3888.56
AGIIL,AGI INFRA LIMITED,1815337,4028.54
AGRITECH,AGRI-TECH (INDIA) LIMITED,4613,7.71
AHLADA,AHLADA ENGINEERS LIMITED,5517,5.23
AHLEAST,ASIAN HOTELS (EAST) LTD,1399,2.12
AHLUCONT,AHLUWALIA CONT IND LTD,249360,2520.60
AIAENG,AIA ENGINEERING LIMITED,38465,1403.65
AIIL,AUTHUM INVEST & INFRA LTD,88472,2528.20
AIRAN,AIRAN LIMITED,82271,22.90
AJANTPHARM,AJANTA PHARMA LIMITED,54640,1482.02
AJAXENGG,AJAX ENGINEERING LIMITED,131819,866.56
AJMERA,AJMERA REALTY & INF I LTD,181559,1763.25
AJOONI,AJOONI BIOTECH LIMITED,7000,0.40
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,250,0.77
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,13369,0.94
AKUMS,AKUMS DRUGS AND PHARMA L,428884,2130.33
AKZOINDIA,AKZO NOBEL INDIA LIMITED,34034,1216.89
ALANKIT,ALANKIT LIMITED,199095,28.73
ALBERTDAVD,ALBERT DAVID LIMITED,4254,34.52
ALEMBICLTD,ALEMBIC LIMITED,1994036,2308.85
ALICON,ALICON CASTALLOY LIMITED,13732,135.87
ALIVUS,ALIVUS LIFE SCIENCES LTD,209023,2118.24
ALKALI,ALKALI METALS LTD,690,0.65
ALKEM,ALKEM LABORATORIES LTD.,19650,1102.41
ALKYLAMINE,ALKYL AMINES CHEM. LTD,165374,3374.79
ALLCARGO,ALLCARGO LOGISTICS LTD,1057127,316.58
ALLDIGI,ALLDIGI TECH LIMITED,25934,187.48
ALLTIME,ALL TIME PLASTICS LIMITED,170061,488.41
ALMONDZ,ALMONDZ GLOBAL SEC LTD,13636,2.88
ALOKINDS,ALOK INDUSTRIES LIMITED,15185114,2901.12
ALPA,ALPA LABORATORIES LTD,3698,3.81
ALPHA,KOTAKMAMC - KOTAKALPHA,4076487,2027.03
ALPHAETF,MIRAEAMC - ALPHAETF,1746783,449.02
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,13091,34.87
ALPL30IETF,ICICIPRAMC - ICICIALPLV,723763,206.82
AMANTA,AMANTA HEALTHCARE LIMITED,20297,23.49
AMBER,AMBER ENTERPRISES (I) LTD,258804,19390.45
AMBIKCO,AMBIKA COTTON MILL LTD.,13500,196.30
AMBUJACEM,AMBUJA CEMENTS LTD,2971488,16964.14
AMDIND,AMD INDUSTRIES LIMITED,1001,0.50
AMJLAND,AMJ LAND HOLDINGS LIMITED,100,0.06
AMNPLST,AMINES & PLASTICIZERS LTD,4573,11.17
AMRUTANJAN,AMRUTAJAN HEALTH LTD,38884,288.21
ANANDRATHI,ANAND RATHI WEALTH LTD,428938,12225.00
