sebi_report_as_on_reporting_date_28nov2025,unnamed_1,unnamed_2,unnamed_3
Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,11245077.09,
2,Fresh Exposure taken during the day,274383.60,
3,Exposure liquidated during the day,263860.55,
4,Net scripwise outstanding at the end of the day,11255600.13,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,210963,497.39
360ONE,360 ONE WAM LIMITED,301481,3380.35
3IINFOLTD,3I INFOTECH LIMITED,456688,129.28
3MINDIA,3M INDIA LIMITED,5982,1944.89
5PAISA,5PAISA CAPITAL LIMITED,131901,478.14
63MOONS,63 MOONS TECHNOLOGIES LTD,383069,3281.80
AADHARHFC,AADHAR HOUSING FINANCE L,1193189,6021.37
AARON,AARON INDUSTRIES LIMITED,370,0.97
AARTECH,AARTECH SOLONICS LIMITED,1075,0.57
AARTIDRUGS,AARTI DRUGS LTD.,718519,3521.77
AARTIIND,AARTI INDUSTRIES LTD,3763888,16365.59
AARTIPHARM,AARTI PHARMALABS LIMITED,414946,3312.27
AARTISURF,AARTI SURFACTANTS LIMITED,3708,17.96
AARVI,AARVI ENCON LIMITED,244,0.34
AAVAS,AAVAS FINANCIERS LIMITED,273947,4771.59
ABAN,ABAN OFFSHORE LTD.,750,0.58
ABB,ABB INDIA LIMITED,470544,26574.49
ABBOTINDIA,ABBOTT INDIA LIMITED,12724,3912.02
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2905903,7946.99
ABCOTS,A B COTSPIN INDIA LIMITED,43126,179.87
ABDL,ALLIED BLEND N DISTILS L,903731,4862.79
ABFRL,ADITYA BIRLA FASHION & RT,32961618,40250.41
ABGSEC,BIRLASLAMC - ABGSEC,261,0.29
ABINFRA,A B INFRABUILD LIMITED,349795,67.19
ABLBL,ADITYA BIRLA LIFES BRAN L,6433898,9643.51
ABREL,ADITYA BIRLA REAL EST LTD,315962,6456.94
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,503838,4035.87
ABSLBANETF,BIRLASLAMC - ABSLBANETF,9761,5.60
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,12,0.12
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,165473,126.25
ABSLPSE,BIRLASLAMC-ABSLPSE,164173,16.58
ACC,ACC LIMITED,664779,12813.72
ACCELYA,ACCELYA SOLN INDIA LTD,252902,3636.69
ACCURACY,ACCURACY SHIPPING LIMITED,250,0.02
ACE,ACTION CONST EQUIP LTD,684121,7912.52
ACI,ARCHEAN CHEMICAL IND LTD,438672,2745.03
ACL,ANDHRA CEMENTS LIMITED,62,0.04
ACLGATI,ALLCARGO GATI LIMITED,57887,37.58
ACMESOLAR,ACME SOLAR HOLDINGS LTD,2607758,7317.52
ACUTAAS,ACUTAAS CHEMICALS LIMITED,353224,5457.44
ADANIENSOL,ADANI ENERGY SOLUTION LTD,1241815,11121.33
ADANIENT,ADANI ENTERPRISES LIMITED,1579178,39519.78
ADANIGREEN,ADANI GREEN ENERGY LTD,2650452,28287.68
ADANIPORTS,ADANI PORT & SEZ LTD,1531590,21724.86
ADANIPOWER,ADANI POWER LTD,32985674,49650.25
ADFFOODS,ADF FOODS LIMITED,793568,2024.16
ADOR,ADOR WELDING LTD,46051,514.57
ADSL,ALLIED DIGITAL SERV. LTD,343345,660.37
ADVANCE,ADVANCE AGROLIFE LIMITED,536622,745.04
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,26567,16.91
ADVENTHTL,ADVENT HOTELS INTERNATI L,2018,5.20
ADVENZYMES,ADVANCED ENZYME TECH LTD,682036,2399.02
AEGISLOG,AEGIS LOGISTICS LIMITED,1138446,9102.55
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,502038,1331.31
AEROENTER,AEROFLEX ENTERPRISES LTD,858907,868.22
AEROFLEX,AEROFLEX INDUSTRIES LTD,2312425,4405.01
AETHER,AETHER INDUSTRIES LIMITED,316945,2528.60
AFCONS,AFCONS INFRASTRUCTURE LTD,1392385,6187.92
AFFLE,AFFLE 3I LIMITED,313203,5789.11
AFFORDABLE,AFFORD ROBO & AUTO LTD,7248,19.29
AFIL,AKME FINTRADE (INDIA) LTD,12337840,952.86
AFSL,ABANS FINANCIAL SRVCS LTD,27310,64.72
AGARIND,AGARWAL INDS CORP LTD.,53844,516.20
AGARWALEYE,DR AGARWALS HEALTH CARE L,141381,706.09
AGI,AGI GREENPAC LIMITED,462689,3941.59
AGIIL,AGI INFRA LIMITED,1656120,3590.81
AGRITECH,AGRI-TECH (INDIA) LIMITED,6994,11.17
AGSTRA,AGS TRANSACT TECH LTD,497,0.37
AHLADA,AHLADA ENGINEERS LIMITED,5776,5.39
AHLEAST,ASIAN HOTELS (EAST) LTD,1399,2.12
AHLUCONT,AHLUWALIA CONT IND LTD,257062,2610.06
AIAENG,AIA ENGINEERING LIMITED,41998,1509.11
AIIL,AUTHUM INVEST & INFRA LTD,98802,2827.93
AIRAN,AIRAN LIMITED,82350,22.93
AJANTPHARM,AJANTA PHARMA LIMITED,61507,1658.01
AJAXENGG,AJAX ENGINEERING LIMITED,135696,893.01
AJMERA,AJMERA REALTY & INF I LTD,174310,1690.72
AJOONI,AJOONI BIOTECH LIMITED,7000,0.40
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,250,0.77
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,26264,1.84
AKUMS,AKUMS DRUGS AND PHARMA L,442648,2206.90
AKZOINDIA,AKZO NOBEL INDIA LIMITED,28138,991.30
ALANKIT,ALANKIT LIMITED,199755,28.81
ALBERTDAVD,ALBERT DAVID LIMITED,4258,34.56
ALEMBICLTD,ALEMBIC LIMITED,2129048,2461.34
ALICON,ALICON CASTALLOY LIMITED,14588,144.72
ALIVUS,ALIVUS LIFE SCIENCES LTD,203350,2074.91
ALKALI,ALKALI METALS LTD,690,0.65
ALKEM,ALKEM LABORATORIES LTD.,21939,1231.64
ALKYLAMINE,ALKYL AMINES CHEM. LTD,168767,3455.26
ALLCARGO,ALLCARGO LOGISTICS LTD,882190,307.58
ALLDIGI,ALLDIGI TECH LIMITED,27312,200.49
ALLTIME,ALL TIME PLASTICS LIMITED,181644,523.25
ALMONDZ,ALMONDZ GLOBAL SEC LTD,13371,2.83
ALOKINDS,ALOK INDUSTRIES LIMITED,15697006,3021.75
ALPA,ALPA LABORATORIES LTD,3698,3.81
ALPHA,KOTAKMAMC - KOTAKALPHA,3953775,1964.41
ALPHAETF,MIRAEAMC - ALPHAETF,1701945,432.10
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,13727,36.49
ALPL30IETF,ICICIPRAMC - ICICIALPLV,924641,262.86
AMANTA,AMANTA HEALTHCARE LIMITED,19055,22.43
AMBER,AMBER ENTERPRISES (I) LTD,247324,19001.20
AMBIKCO,AMBIKA COTTON MILL LTD.,13394,196.88
AMBUJACEM,AMBUJA CEMENTS LTD,2751560,15852.27
AMJLAND,AMJ LAND HOLDINGS LIMITED,200,0.12
AMNPLST,AMINES & PLASTICIZERS LTD,4758,11.76
AMRUTANJAN,AMRUTAJAN HEALTH LTD,40397,301.18
ANANDRATHI,ANAND RATHI WEALTH LTD,136861,3946.37
ANANTRAJ,ANANT RAJ LIMITED,10951085,69929.44
ANDHRAPAP,ANDHRA PAPER LIMITED,601233,502.19
ANDHRSUGAR,ANDHRA SUGARS LTD,482292,506.45
ANDREWYU,ANDREW YULE & CO LTD,3900,1.04
ANGELONE,ANGEL ONE LIMITED,621035,17374.14
ANMOL,ANMOL INDIA LIMITED,500,0.08
ANTELOPUS,ANTELOPUS SELAN ENRGY LTD,106130,594.09
ANTHEM,ANTHEM BIOSCIENCES LTD,402587,2936.87
ANUHPHR,ANUH PHARMA LIMITED,20666,18.23
ANUP,THE ANUP ENGINEERING LTD,67843,1770.76
ANURAS,ANUPAM RASAYAN INDIA LTD,4172685,41577.94
AONEGOLD,AONEAMC - AONEGOLD,698474,83.28
AONELIQUID,AONEAMC - AONELIQUID,3,0.03
AONENIFTY,AONEAMC - AONENIFTY,50205,5.19
AONETOTAL,AONEAMC - AONETOTAL,97669,11.56
APARINDS,APAR INDUSTRIES LTD.,66791,5633.49
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,26781,112.76
APEX,APEX FROZEN FOODS LIMITED,316475,946.57
APLAPOLLO,APL APOLLO TUBES LTD,294399,5124.39
APLLTD,ALEMBIC PHARMA LTD,254612,2531.69
APOLLO,APOLLO MICRO SYSTEMS LTD,3314689,8614.13
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,237853,17888.88
APOLLOPIPE,APOLLO PIPES LIMITED,430295,1685.96
APOLLOTYRE,APOLLO TYRES LTD,639229,3239.17
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,202,3.47
APTECHT,APTECH LIMITED,335130,390.55
APTUS,APTUS VALUE HSG FIN I LTD,2751203,8598.52
ARCHIDPLY,ARCHIDPLY IND. LTD,602,0.62
ARE&M,AMARA RAJA ENERGY MOB LTD,1560412,16410.04
ARIES,ARIES AGRO LTD.,110331,434.09
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,863937,904.55
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,133724,568.00
ARISINFRA,ARISINFRA SOLUTIONS LTD,473166,759.02
ARKADE,ARKADE DEVELOPERS LIMITED,2955891,5256.68
ARMANFIN,ARMAN FIN SERV LTD,94604,1553.84
ARROWGREEN,ARROW GREENTECH LIMITED,12553,78.81
ARSSBL,ANAND RATHI SH N STK BR L,687343,4716.95
ARTEMISMED,ARTEMIS MED SERVICE LTD,222221,608.54
ARVIND,ARVIND LIMITED,1005874,3445.92
ARVINDFASN,ARVIND FASHIONS LIMITED,501176,2637.32
ARVSMART,ARVIND SMARTSPACES LTD,149450,971.77
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,91398,833.93
ASAHISONG,ASAHI SONGWON COLOR LTD,463,1.36
ASAL,AUTOMOTIVE STAMPINGS & AS,33063,194.32
ASALCBR,ASSO ALCOHOLS & BREW LTD,161328,1630.18
ASHAPURMIN,ASHAPURA MINECHEM LTD,1463140,7350.34
ASHIANA,ASHIANA HOUSING LTD,81735,258.70
ASHIMASYN,ASHIMA LTD,18563,3.87
ASHOKA,ASHOKA BUILDCON LTD,4543525,9461.30
ASHOKAMET,ASHOKA METCAST LIMITED,18186,3.09
ASHOKLEY,ASHOK LEYLAND LTD,3453935,4806.61
ASIANENE,ASIAN ENERGY SERVICES LTD,574855,1964.80
ASIANPAINT,ASIAN PAINTS LIMITED,385124,10175.17
ASIANTILES,ASIAN GRANITO IND. LTD.,2470108,1656.74
ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,370829,1858.27
ASMS,BARTRONICS INDIA LIMITED,3180,0.46
ASPINWALL,ASPINWALL & CO LTD,192,0.52
ASTEC,ASTEC LIFESCIENCES LTD,355886,3527.85
ASTERDM,ASTER DM HEALTHCARE LTD.,573301,3739.04
ASTRAL,ASTRAL LIMITED,677104,10439.58
ASTRAMICRO,ASTRA MICROWAVE LTD,2162313,19771.50
ASTRAZEN,ASTRAZENECA PHARMA IND LT,28417,2327.02
ATALREAL,ATAL REALTECH LIMITED,1219000,260.78
ATAM,ATAM VALVES LIMITED,1849,2.04
ATGL,ADANI TOTAL GAS LIMITED,1741855,11738.77
ATHERENERG,ATHER ENERGY LIMITED,562098,3494.20
ATL,ALLCARGO TERMINALS LTD,905361,379.06
ATLANTAELE,ATLANTA ELECTRICALS LTD,72413,715.81
ATUL,ATUL LTD,251775,15528.92
ATULAUTO,ATUL AUTO LIMITED,281785,1406.64
AUBANK,AU SMALL FINANCE BANK LTD,473462,3712.74
AURIONPRO,AURIONPRO SOLN LTD,513009,6219.86
AUROPHARMA,AUROBINDO PHARMA LTD,500891,5970.44
AURUM,AURUM PROPTECH LIMITED,224658,406.10
AUTOAXLES,AUTOMOTIVE AXLES LIMITED,22681,409.24
AUTOBEES,NIPPONAMC - NETFAUTO,390321,1087.85
AUTOIETF,ICICIPRAMC - ICICIAUTO,735562,201.32
AUTOIND,AUTOLINE INDUSTRIES LTD,65976,52.51
AVADHSUGAR,AVADH SUG & ENERGY LTD,126161,635.25
AVALON,AVALON TECHNOLOGIES LTD,376724,3825.47
AVANTEL,AVANTEL LIMITED,7183757,12673.10
AVANTIFEED,AVANTI FEEDS LIMITED,854252,6568.96
AVG,AVG LOGISTICS LIMITED,1900,5.16
AVL,ADITYA VISION LIMITED,117908,619.39
AVONMORE,AVONMORE CAP&MGT SERV LTD,27230,5.13
AVROIND,AVRO INDIA LIMITED,1258,1.79
AVTNPL,AVT NATURAL PRODUCTS LTD,67066,58.09
AWFIS,AWFIS SPACE SOLUTIONS LTD,788560,4751.93
AWHCL,ANTONY WASTE HDG CELL LTD,260621,1522.21
AWL,AWL AGRI BUSINESS LIMITED,3414579,9602.36
AXISBANK,AXIS BANK LIMITED,793746,9487.79
AXISBNKETF,AXISAMC - AXISBNKETF,547,3.27
AXISBPSETF,AXISAMC - AXISBPSETF,5165,0.67
AXISCADES,AXISCADES TECH LTD,420,7.14
AXISCETF,AXISAMC - AXISCETF,11391,14.43
AXISGOLD,AXIS MF - AXIS GOLD ETF,2697919,2697.86
AXISHCETF,AXISAMC - AXISHCETF,6628,9.57
AXISILVER,AXISAMC - AXISILVER,818682,1335.53
AXISNIFTY,AXISAMC - AXISNIFTY,2842,7.75
AXISTECETF,AXISAMC - AXISTECETF,3590,14.52
AXISVALUE,AXISAMC - AXISVALUE,2611,0.79
AXITA,AXITA COTTON LIMITED,70050,8.43
AXSENSEX,AXISAMC - AXSENSEX,1750,1.50
AYMSYNTEX,AYM SYNTEX LIMITED,22051,42.39
AZAD,AZAD ENGINEERING LIMITED,485773,8172.28
BAIDFIN,BAID FINSERV LIMITED,31629,3.93
BAJAJ-AUTO,BAJAJ AUTO LIMITED,379412,34045.46
BAJAJCON,BAJAJ CONSUMER CARE LTD,2300873,6045.63
BAJAJELEC,BAJAJ ELECT.LTD,490688,2788.04
BAJAJFINSV,BAJAJ FINSERV LTD.,746272,15148.43
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,912330,4497.81
BAJAJHFL,BAJAJ HOUSING FINANCE LTD,23949114,28157.53
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,25863896,6337.37
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,108854,13578.06
BAJAJINDEF,INDEF MANUFACTURING LTD,10953,40.85
BAJEL,BAJEL PROJECTS LIMITED,226661,462.32
BAJFINANCE,BAJAJ FINANCE LIMITED,3283727,32147.32
BALAJEE,SHREE TIRUPATI BALAJEE L,121509,62.08
BALAJITELE,BALAJI TELEFILMS LIMITED.,281363,352.50
BALAMINES,BALAJI AMINES LIMITED,355482,5357.59
BALAXI,BALAXI PHARMA LTD,64986,38.39
BALKRISIND,BALKRISHNA IND. LTD,149414,3744.14
BALMLAWRIE,BALMER LAWRIE & CO LTD,1612983,3580.30
BALPHARMA,BAL PHARMA LTD.,2611,2.16
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,1074672,5422.54
BALUFORGE,BALU FORGE INDUSTRIES LTD,306683,1976.25
BANARBEADS,BANARAS BEADS LTD,450,0.61
BANARISUG,BANNARI AMMAN SUGARS LTD,430,15.67
BANCOINDIA,BANCO PRODUCTS (I) LTD,729853,5455.21
BANDHANBNK,BANDHAN BANK LIMITED,17936097,30023.59
BANKBARODA,BANK OF BARODA,6023740,15946.78
BANKBEES,NIP IND ETF BANK BEES,360742,2112.59
BANKBETF,BFAM - BANKBETF,24504,14.41
BANKETF,MIRAEAMC - BANKETF,3730,21.57
BANKETFADD,DSPAMC - DSPBANKETF,3828,2.23
BANKIETF,ICICIPRAMC - IPRU5008,195481,113.64
BANKINDIA,BANK OF INDIA,14740296,18610.05
BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,9225,52.98
BANKPSU,MIRAEAMC - BANKPSU,17096,13.10
BANSALWIRE,BANSAL WIRE INDUSTRIES L,337833,1226.51
BANSWRAS,BANSWARA SYNTEX LIMITED,3127,5.05
BASF,BASF INDIA LTD,168807,8536.78
BASML,BANNARI AM SPIN MILL LTD.,64627,20.78
BATAINDIA,BATA INDIA LTD,497683,5829.08
BAYERCROP,BAYER CROPSCIENCE LTD,92873,4654.81
BBETF0432,EDELAMC - BBETF0432,21,0.27
BBL,BHARAT BIJLEE LTD,109607,3195.90
BBNPNBETF,BARODABNP - BBNPNBETF,1,0.00
BBNPPGOLD,BARODABNP - BBNPPGOLD,23946,28.80
BBOX,BLACK BOX LIMITED,879621,4861.95
BBTC,BOMBAY BURMAH TRADING COR,299833,5792.71
BCLIND,BCL INDUSTRIES LIMITED,1731575,726.14
BCONCEPTS,BRAND CONCEPTS LIMITED,24,0.10
BDL,BHARAT DYNAMICS LIMITED,3800876,63781.91
BEARDSELL,BEARDSELL LIMITED,10851,3.76
BECTORFOOD,MRS BECTORS FOOD SPE LTD,182771,2600.50
BEDMUTHA,BEDMUTHA INDUST LTD,8408,11.11
BEL,BHARAT ELECTRONICS LTD,23859275,94133.21
BELLACASA,BELLA CASA FASH AND RET L,11292,46.42
BELRISE,BELRISE INDUSTRIES LTD,11855523,17829.76
BEML,BEML LIMITED,1528585,32488.65
BEPL,BHANSALI ENG. POLYMERS LT,2915184,3340.20
BERGEPAINT,BERGER PAINTS (I) LTD,195241,1106.29
BESTAGRO,BEST AGROLIFE LIMITED,79276,351.05
BFINVEST,BF INVESTMENT LIMITED,98066,515.31
BFSI,MIRAEAMC - MAFSETF,834718,228.68
BFUTILITIE,BF UTILITIES LIMITED,7547,61.14
BGRENERGY,BGR ENERGY SYSTEMS LTD,1,0.00
BHAGCHEM,BHAGIRADHA CHEM & INDS L,761273,2154.83
BHAGERIA,BHAGERIA INDUSTRIES LTD,163862,342.88
BHAGYANGR,BHAGYANAGAR INDIA LIMITED,5000,7.89
BHANDARI,BHANDARI HOSIERY EXP LTD,908045,46.90
BHARATFORG,BHARAT FORGE LTD,550528,7448.85
BHARATGEAR,BHARAT GEARS LTD.,7227,9.24
BHARATRAS,BHARAT RASAYAN LTD,18096,1957.00
BHARATSE,BHARAT SEATS LIMITED,40071,77.05
BHARATWIRE,BHARAT WIRE ROPES LTD.,919704,2035.49
BHARTIARTL,BHARTI AIRTEL LIMITED,1091184,22522.89
BHARTIHEXA,BHARTI HEXACOM LIMITED,143437,2616.82
BHEL,BHEL,8091287,20865.90
BIGBLOC,BIGBLOC CONSTRUCTION LTD,53371,57.88
BIKAJI,BIKAJI FOODS INTERN LTD,563334,4301.72
BIOCON,BIOCON LIMITED.,3222995,12570.40
BIRLACABLE,BIRLA CABLE LIMITED,18435,31.96
BIRLACORPN,BIRLA CORPORATION LTD,322718,4135.66
BIRLAMONEY,ADITYA BIRLA MONEY LTD,39807,69.23
BIRLANU,BIRLANU LIMITED,42115,880.32
BLACKBUCK,BLACKBUCK LIMITED,1296272,8575.39
BLAL,BEML LAND ASSETS LIMITED,91668,209.48
