sebi_report_as_on_reporting_date_02dec2025,unnamed_1,unnamed_2,unnamed_3
Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,11255692.95,
2,Fresh Exposure taken during the day,286791.42,
3,Exposure liquidated during the day,242084.00,
4,Net scripwise outstanding at the end of the day,11300400.37,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,207088,488.65
360ONE,360 ONE WAM LIMITED,285072,3197.70
3IINFOLTD,3I INFOTECH LIMITED,458620,129.30
3MINDIA,3M INDIA LIMITED,6037,1964.64
5PAISA,5PAISA CAPITAL LIMITED,105853,390.46
63MOONS,63 MOONS TECHNOLOGIES LTD,444662,3821.63
AADHARHFC,AADHAR HOUSING FINANCE L,1145173,5785.32
AARON,AARON INDUSTRIES LIMITED,487,1.18
AARTECH,AARTECH SOLONICS LIMITED,875,0.47
AARTIDRUGS,AARTI DRUGS LTD.,724640,3535.46
AARTIIND,AARTI INDUSTRIES LTD,3741103,16264.98
AARTIPHARM,AARTI PHARMALABS LIMITED,415780,3315.05
AARTISURF,AARTI SURFACTANTS LIMITED,3831,18.49
AARVI,AARVI ENCON LIMITED,243,0.34
AAVAS,AAVAS FINANCIERS LIMITED,294514,5077.31
ABAN,ABAN OFFSHORE LTD.,750,0.58
ABB,ABB INDIA LIMITED,469523,26509.76
ABBOTINDIA,ABBOTT INDIA LIMITED,13900,4257.17
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2882725,7927.67
ABCOTS,A B COTSPIN INDIA LIMITED,48078,200.58
ABDL,ALLIED BLEND N DISTILS L,994548,5412.72
ABFRL,ADITYA BIRLA FASHION & RT,33047365,40307.23
ABGSEC,BIRLASLAMC - ABGSEC,261,0.29
ABINFRA,A B INFRABUILD LIMITED,299000,57.71
ABLBL,ADITYA BIRLA LIFES BRAN L,6428703,9635.92
ABREL,ADITYA BIRLA REAL EST LTD,315696,6443.56
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,504290,4036.11
ABSLBANETF,BIRLASLAMC - ABSLBANETF,10427,6.01
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,11,0.11
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,165598,126.34
ABSLPSE,BIRLASLAMC-ABSLPSE,208090,20.99
ACC,ACC LIMITED,680359,13094.45
ACCELYA,ACCELYA SOLN INDIA LTD,248684,3573.94
ACCURACY,ACCURACY SHIPPING LIMITED,250,0.02
ACE,ACTION CONST EQUIP LTD,683835,7895.73
ACI,ARCHEAN CHEMICAL IND LTD,439384,2744.15
ACL,ANDHRA CEMENTS LIMITED,62,0.04
ACLGATI,ALLCARGO GATI LIMITED,56153,36.34
ACMESOLAR,ACME SOLAR HOLDINGS LTD,2614080,7296.86
ACUTAAS,ACUTAAS CHEMICALS LIMITED,368263,5729.57
ADANIENSOL,ADANI ENERGY SOLUTION LTD,1253800,11245.65
ADANIENT,ADANI ENTERPRISES LIMITED,1690528,41974.51
ADANIGREEN,ADANI GREEN ENERGY LTD,2694689,28719.84
ADANIPORTS,ADANI PORT & SEZ LTD,1514253,21558.50
ADANIPOWER,ADANI POWER LTD,32915237,49509.41
ADFFOODS,ADF FOODS LIMITED,783570,2001.75
ADOR,ADOR WELDING LTD,45841,512.01
ADSL,ALLIED DIGITAL SERV. LTD,351535,675.13
ADVANCE,ADVANCE AGROLIFE LIMITED,543130,750.15
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,26099,16.64
ADVENZYMES,ADVANCED ENZYME TECH LTD,686344,2410.35
AEGISLOG,AEGIS LOGISTICS LIMITED,1128076,9019.94
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,550130,1472.26
AEROENTER,AEROFLEX ENTERPRISES LTD,862710,871.44
AEROFLEX,AEROFLEX INDUSTRIES LTD,2296515,4374.65
AETHER,AETHER INDUSTRIES LIMITED,311070,2485.54
AFCONS,AFCONS INFRASTRUCTURE LTD,1323414,5878.84
AFFLE,AFFLE 3I LIMITED,320026,5896.33
AFFORDABLE,AFFORD ROBO & AUTO LTD,7557,19.97
AFIL,AKME FINTRADE (INDIA) LTD,12333320,952.48
AFSL,ABANS FINANCIAL SRVCS LTD,28288,66.78
AGARIND,AGARWAL INDS CORP LTD.,59423,558.76
AGARWALEYE,DR AGARWALS HEALTH CARE L,138775,691.57
AGI,AGI GREENPAC LIMITED,461905,3933.29
AGIIL,AGI INFRA LIMITED,1688756,3679.52
AGRITECH,AGRI-TECH (INDIA) LIMITED,4894,8.13
AGSTRA,AGS TRANSACT TECH LTD,497,0.37
AHLADA,AHLADA ENGINEERS LIMITED,5776,5.39
AHLEAST,ASIAN HOTELS (EAST) LTD,1399,2.12
AHLUCONT,AHLUWALIA CONT IND LTD,249283,2524.12
AIAENG,AIA ENGINEERING LIMITED,41099,1476.61
AIIL,AUTHUM INVEST & INFRA LTD,105660,3008.27
AIRAN,AIRAN LIMITED,82348,22.93
AJANTPHARM,AJANTA PHARMA LIMITED,58741,1586.10
AJAXENGG,AJAX ENGINEERING LIMITED,138273,909.11
AJMERA,AJMERA REALTY & INF I LTD,176838,1716.55
AJOONI,AJOONI BIOTECH LIMITED,7000,0.40
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,250,0.77
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,26264,1.84
AKUMS,AKUMS DRUGS AND PHARMA L,444027,2209.95
AKZOINDIA,AKZO NOBEL INDIA LIMITED,50731,1797.44
ALANKIT,ALANKIT LIMITED,199053,28.72
ALBERTDAVD,ALBERT DAVID LIMITED,4254,34.52
ALEMBICLTD,ALEMBIC LIMITED,2113719,2440.42
ALICON,ALICON CASTALLOY LIMITED,14124,140.29
ALIVUS,ALIVUS LIFE SCIENCES LTD,198644,2030.97
ALKALI,ALKALI METALS LTD,690,0.65
ALKEM,ALKEM LABORATORIES LTD.,21441,1204.16
ALKYLAMINE,ALKYL AMINES CHEM. LTD,166559,3410.89
ALLCARGO,ALLCARGO LOGISTICS LTD,1013570,319.45
ALLDIGI,ALLDIGI TECH LIMITED,27280,199.50
ALLTIME,ALL TIME PLASTICS LIMITED,180144,518.80
ALMONDZ,ALMONDZ GLOBAL SEC LTD,13444,2.85
ALOKINDS,ALOK INDUSTRIES LIMITED,15739293,3025.08
ALPA,ALPA LABORATORIES LTD,4698,4.71
ALPHA,KOTAKMAMC - KOTAKALPHA,3841310,1910.30
ALPHAETF,MIRAEAMC - ALPHAETF,1759465,452.77
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,13727,36.49
ALPL30IETF,ICICIPRAMC - ICICIALPLV,785065,223.82
AMANTA,AMANTA HEALTHCARE LIMITED,19083,22.41
AMBER,AMBER ENTERPRISES (I) LTD,261962,19978.33
AMBIKCO,AMBIKA COTTON MILL LTD.,13658,200.12
AMBUJACEM,AMBUJA CEMENTS LTD,2809136,16156.27
AMJLAND,AMJ LAND HOLDINGS LIMITED,200,0.12
AMNPLST,AMINES & PLASTICIZERS LTD,4758,11.76
AMRUTANJAN,AMRUTAJAN HEALTH LTD,41983,311.98
ANANDRATHI,ANAND RATHI WEALTH LTD,125474,3618.73
ANANTRAJ,ANANT RAJ LIMITED,11138539,70799.45
ANDHRAPAP,ANDHRA PAPER LIMITED,591779,495.26
ANDHRSUGAR,ANDHRA SUGARS LTD,477978,502.53
ANDREWYU,ANDREW YULE & CO LTD,3900,1.04
ANGELONE,ANGEL ONE LIMITED,587418,16476.20
ANMOL,ANMOL INDIA LIMITED,500,0.08
ANTELOPUS,ANTELOPUS SELAN ENRGY LTD,105731,591.06
ANTHEM,ANTHEM BIOSCIENCES LTD,371976,2731.69
ANUHPHR,ANUH PHARMA LIMITED,26638,23.09
ANUP,THE ANUP ENGINEERING LTD,68713,1786.80
ANURAS,ANUPAM RASAYAN INDIA LTD,4195582,41876.16
AONEGOLD,AONEAMC - AONEGOLD,667679,79.65
AONELIQUID,AONEAMC - AONELIQUID,2,0.02
AONENIFTY,AONEAMC - AONENIFTY,56311,5.85
AONETOTAL,AONEAMC - AONETOTAL,110946,13.16
APARINDS,APAR INDUSTRIES LTD.,70848,6005.58
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,27555,116.01
APEX,APEX FROZEN FOODS LIMITED,257408,746.85
APLAPOLLO,APL APOLLO TUBES LTD,290098,5048.34
APLLTD,ALEMBIC PHARMA LTD,251409,2500.14
APOLLO,APOLLO MICRO SYSTEMS LTD,3210250,8326.25
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,238524,17896.54
APOLLOPIPE,APOLLO PIPES LIMITED,378037,1449.97
APOLLOTYRE,APOLLO TYRES LTD,691246,3521.39
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,225,3.77
APTECHT,APTECH LIMITED,334292,389.35
APTUS,APTUS VALUE HSG FIN I LTD,2726272,8516.70
ARCHIDPLY,ARCHIDPLY IND. LTD,600,0.61
ARE&M,AMARA RAJA ENERGY MOB LTD,1552568,16323.39
ARIES,ARIES AGRO LTD.,109977,432.75
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,870911,911.41
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,133261,566.07
ARISINFRA,ARISINFRA SOLUTIONS LTD,465149,740.80
ARKADE,ARKADE DEVELOPERS LIMITED,2961150,5258.98
ARMANFIN,ARMAN FIN SERV LTD,101930,1671.53
ARROWGREEN,ARROW GREENTECH LIMITED,12424,78.05
ARSSBL,ANAND RATHI SH N STK BR L,717380,4949.71
ARTEMISMED,ARTEMIS MED SERVICE LTD,257546,707.49
ARVIND,ARVIND LIMITED,978038,3346.99
ARVINDFASN,ARVIND FASHIONS LIMITED,513433,2697.64
ARVSMART,ARVIND SMARTSPACES LTD,145955,951.27
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,92327,847.26
ASAHISONG,ASAHI SONGWON COLOR LTD,232,0.70
ASAL,AUTOMOTIVE STAMPINGS & AS,33692,197.51
ASALCBR,ASSO ALCOHOLS & BREW LTD,157187,1587.56
ASHAPURMIN,ASHAPURA MINECHEM LTD,1461928,7357.21
ASHIANA,ASHIANA HOUSING LTD,75003,238.58
ASHIMASYN,ASHIMA LTD,29835,6.05
ASHOKA,ASHOKA BUILDCON LTD,4534010,9402.14
ASHOKAMET,ASHOKA METCAST LIMITED,18186,3.09
ASHOKLEY,ASHOK LEYLAND LTD,3704359,5264.27
ASIANENE,ASIAN ENERGY SERVICES LTD,574487,1963.23
ASIANPAINT,ASIAN PAINTS LIMITED,365010,9645.60
ASIANTILES,ASIAN GRANITO IND. LTD.,2480561,1663.35
ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,365337,1831.29
ASMS,BARTRONICS INDIA LIMITED,3180,0.46
ASPINWALL,ASPINWALL & CO LTD,126,0.36
ASTEC,ASTEC LIFESCIENCES LTD,349698,3469.66
ASTERDM,ASTER DM HEALTHCARE LTD.,562067,3663.20
ASTRAL,ASTRAL LIMITED,703904,10814.41
ASTRAMICRO,ASTRA MICROWAVE LTD,2160111,19737.23
ASTRAZEN,ASTRAZENECA PHARMA IND LT,27771,2267.91
ATALREAL,ATAL REALTECH LIMITED,1219000,260.78
ATAM,ATAM VALVES LIMITED,1849,2.04
ATGL,ADANI TOTAL GAS LIMITED,1731805,11654.91
ATHERENERG,ATHER ENERGY LIMITED,638250,4023.48
ATL,ALLCARGO TERMINALS LTD,905442,378.61
ATLANTAELE,ATLANTA ELECTRICALS LTD,80859,790.47
ATUL,ATUL LTD,249819,15380.29
ATULAUTO,ATUL AUTO LIMITED,281672,1406.10
AUBANK,AU SMALL FINANCE BANK LTD,509075,4062.34
AURIONPRO,AURIONPRO SOLN LTD,513632,6221.51
AUROPHARMA,AUROBINDO PHARMA LTD,512884,6119.46
AURUM,AURUM PROPTECH LIMITED,224379,405.63
AUTOAXLES,AUTOMOTIVE AXLES LIMITED,19977,361.73
AUTOBEES,NIPPONAMC - NETFAUTO,311349,866.36
AUTOIETF,ICICIPRAMC - ICICIAUTO,775256,213.17
AUTOIND,AUTOLINE INDUSTRIES LTD,67345,53.51
AVADHSUGAR,AVADH SUG & ENERGY LTD,124847,626.56
AVALON,AVALON TECHNOLOGIES LTD,364172,3676.72
AVANTEL,AVANTEL LIMITED,7185138,12662.87
AVANTIFEED,AVANTI FEEDS LIMITED,845848,6502.86
AVG,AVG LOGISTICS LIMITED,1863,5.08
AVL,ADITYA VISION LIMITED,118677,623.00
AVONMORE,AVONMORE CAP&MGT SERV LTD,27230,5.13
AVROIND,AVRO INDIA LIMITED,1258,1.79
AVTNPL,AVT NATURAL PRODUCTS LTD,58542,51.54
AWFIS,AWFIS SPACE SOLUTIONS LTD,795899,4783.25
AWHCL,ANTONY WASTE HDG CELL LTD,262495,1529.17
AWL,AWL AGRI BUSINESS LIMITED,3547855,9901.91
AXISBANK,AXIS BANK LIMITED,874696,10515.70
AXISBNKETF,AXISAMC - AXISBNKETF,563,3.37
AXISBPSETF,AXISAMC - AXISBPSETF,3142,0.41
AXISCADES,AXISCADES TECH LTD,420,7.14
AXISCETF,AXISAMC - AXISCETF,11416,14.47
AXISGOLD,AXIS MF - AXIS GOLD ETF,2747561,2754.67
AXISHCETF,AXISAMC - AXISHCETF,6779,9.81
AXISILVER,AXISAMC - AXISILVER,742531,1210.39
AXISNIFTY,AXISAMC - AXISNIFTY,3910,10.85
AXISTECETF,AXISAMC - AXISTECETF,3575,14.46
AXISVALUE,AXISAMC - AXISVALUE,2863,0.86
